表側１,表側２,表側３,回答企業数(件),必要な能力を持った人材がいない(％),人手が不足(％),資金が不足(％),取り組む時間が不足(％),取り組み方が分からない(％),必要性を感じていない(％),売上・収入の増加につながらない(％),その他(％),無回答(％)
,,今回調査（全体）,73,15.1,16.4,23.3,9.6,9.6,32.9,16.4,6.8,8.2
業種別,,食料品卸売業,25,20,24,32,16,16,32,16,0,8
業種別,,生鮮食品卸売業,14,7.1,35.7,42.9,14.3,14.3,21.4,21.4,0,7.1
業種別,,加工食品等卸売業,11,36.4,9.1,18.2,18.2,18.2,45.5,9.1,0,9.1
業種別,,衣料品関連卸売業,10,20,0,20,0,10,30,10,30,0
業種別,,住関連卸売業,7,14.3,28.6,14.3,14.3,0,71.4,0,0,0
業種別,,その他卸売業,31,9.7,12.9,19.4,6.5,6.5,25.8,22.6,6.5,12.9
従業者規模別,,1～5人,56,12.5,17.9,26.8,10.7,7.1,28.6,21.4,8.9,10.7
従業者規模別,,6～9人,5,20,0,0,0,0,80,0,0,0
従業者規模別,,10～49人,9,22.2,22.2,0,11.1,22.2,33.3,0,0,0
従業者規模別,,50人以上,0,-,-,-,-,-,-,-,-,-
取引形態別,一次卸,小売直取引卸,19,31.6,10.5,15.8,10.5,5.3,42.1,10.5,0,5.3
取引形態別,一次卸,他部門直取引卸,4,0,25,25,0,25,50,0,0,0
取引形態別,一次卸,元卸,5,20,0,20,20,0,40,0,20,0
取引形態別,二次卸,中間卸,18,11.1,16.7,16.7,16.7,16.7,33.3,22.2,11.1,5.6
取引形態別,二次卸,最終卸,13,7.7,30.8,38.5,7.7,15.4,15.4,38.5,7.7,0
取引形態別,その他,製造問屋,2,0,0,0,0,0,100,0,0,0
取引形態別,その他,その他卸,10,10,10,30,0,0,20,10,10,30
売上高増減別(前年同期比),,増加,0,-,-,-,-,-,-,-,-,-
売上高増減別(前年同期比),,横ばい,8,0,25,12.5,0,0,37.5,12.5,0,25
売上高増減別(前年同期比),,減少,65,16.9,15.4,24.6,10.8,10.8,32.3,16.9,7.7,6.2
売上高増減別(３年前),,増加,5,20,0,20,0,0,40,20,0,20
売上高増減別(３年前),,横ばい,16,6.3,12.5,12.5,6.3,12.5,50,6.3,6.3,12.5
売上高増減別(３年前),,減少,49,16.3,18.4,26.5,12.2,10.2,26.5,20.4,8.2,6.1
経常損益の変化別(前年同期比),,増益,1,0,0,0,0,0,100,0,0,0
経常損益の変化別(前年同期比),,横ばい,8,12.5,25,12.5,0,0,50,0,0,12.5
経常損益の変化別(前年同期比),,減益,61,16.4,16.4,24.6,11.5,9.8,29.5,18,8.2,8.2
経常損益の変化別(３年前),,増益,5,0,20,20,0,0,60,40,0,0
経常損益の変化別(３年前),,横ばい,25,0,8,24,0,8,28,20,4,20
経常損益の変化別(３年前),,減益,39,25.6,20.5,20.5,17.9,12.8,33.3,12.8,10.3,2.6
