区分,集計企業数（社）,支給あり（社）,支給あり／同一役職の支給額は同じ（社）,支給あり／同一役職でも支給額は異なる（社）,支給あり／無回答（社）,支給なし（社）,無回答（社）
調査産業計,876,582,352,218,12,294,0
労組有,100,52,31,20,1,11,0
労組無,100,530,321,198,11,283,0
建設業,71,47,27,19,1,24,0
製造業,207,164,103,61,0,43,0
情報通信業,58,38,22,15,1,20,0
運輸業，郵便業,42,34,22,10,2,8,0
卸売業，小売業,180,122,79,41,2,58,0
金融業，保険業,27,8,3,5,0,19,0
不動産業，物品賃貸業,16,9,3,5,1,7,0
学術研究，専門・技術サービス業,57,33,22,10,1,24,0
宿泊業，飲食サービス業,43,18,7,9,2,25,0
生活関連サービス業，娯楽業,34,22,9,11,2,12,0
教育，学習支援業(学校教育を除く）,30,16,11,5,0,14,0
医療，福祉,57,39,22,17,0,18,0
サービス業（他に分類されないもの）,54,32,22,10,0,22,0
10～49人,585,366,215,143,8,219,0
50～99人,188,137,88,47,2,51,0
100～299人,103,79,49,28,2,24,0
