表側,2013年度(％),2014年度(％),2015年度(％),2016年度(％),2017年度(％)
　１．農林水産業,0,0,0,0,0
　２．鉱業,0.1,0.1,0.1,0.1,0.1
　３．製造業,8.6,8.9,8.8,8.7,8.6
　４．電気・ガス・水道・廃棄物処理業,1.5,1.6,1.6,1.6,1.6
　５．建設業,4.8,4.9,5,5.4,6
　６．卸売・小売業,21.9,20,21,20.6,20.3
　７. 運輸・郵便業,4.5,4.7,4.7,4.6,4.7
　８．宿泊・飲食サービス業,2.3,2.4,2.3,2.3,2.2
　９．情報通信業,10.2,10.5,10.4,10.4,10.2
１０．金融・保険業,8.3,8.3,8.2,7.9,8
１１．不動産業,11.2,11.3,11.2,11.5,11.6
１２．専門・科学技術、業務支援サービス業,11,11.3,11.1,11.3,11.2
１３．公務,3.8,3.9,3.9,4,3.9
１４．教育,2.9,3,2.9,2.9,2.9
１５．保健衛生・社会事業,4.3,4.3,4.3,4.4,4.4
１６．その他のサービス,4.6,4.6,4.4,4.2,4.2
輸入品に課される税・関税,0.6,0.8,0.8,0.8,0.8
（控除）総資本形成に係る消費税,0.4,0.6,0.7,0.7,0.7
都内総生産,100,100,100,100,100
