区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和4年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和3年年間給与支払額（円）,男性／集計人員（人）,男性／平均年齢（歳）,男性／平均勤続年数（年）,男性／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,男性／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,男性／令和4年7月1か月の平均賃金／所定時間外賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員（人）,女性／平均年齢（歳）,女性／平均勤続年数（年）,女性／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,女性／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,女性／令和4年7月1か月の平均賃金／所定時間外賃金（円）,女性／令和3年年間給与支払額（円）
調査産業計,8102,47.9,16.5,488010,12809,23980,7347820,6626,48.1,16.8,497043,13210,24830,7540076,1373,46.6,14.9,443607,10343,21567,6430131
建設業,1393,48.3,18,471169,11741,33759,7885438,1193,48.3,17.8,474597,11168,35891,8002569,107,47.4,16.6,395053,10282,37739,6758884
製造業,2196,48.6,18.3,464315,13767,19189,6767948,1929,48.8,18.5,471243,14213,20022,6890239,266,46.5,17,414604,10488,13296,5907161
情報通信業,834,46.8,16.9,484261,11622,21920,7115402,639,46.8,17,482739,11950,24393,6992932,195,46.9,16.5,489248,10547,13867,7535109
運輸業，郵便業,219,51.1,16.7,387896,15708,36665,5653235,187,51.4,17.1,392353,16688,37868,5684379,32,49.5,14.3,361850,9985,29637,5471238
卸売業，小売業,840,48.8,17.5,449998,12827,20565,6689832,663,48.9,17.8,466584,13378,21238,7013189,177,48.4,16.4,387164,10762,18029,5471471
金融業，保険業,1097,47.5,14.1,660578,13492,17970,10204537,876,47.8,14.1,677801,14048,14565,10652534,221,46.4,13.8,592160,11288,30836,8434510
不動産業，物品賃貸業,270,41.7,10.9,439115,11896,22664,6499302,212,43.4,11.4,454603,13020,22487,6851524,58,35.2,9.3,381510,7788,23309,5104504
学術研究，専門・技術サービス業,397,46,13.6,548905,12358,11601,7368984,276,47.2,13.9,575619,13113,10639,7712300,119,43.5,12.8,490434,10465,13858,6621591
宿泊業，飲食サービス業,115,46.4,12.9,368313,13842,28512,4514728,92,45.6,12.9,376749,14545,32520,4635131,16,49.6,13,339384,12547,17768,4236706
生活関連サービス業，娯楽業,186,46,14.2,397906,12086,20714,5494692,130,46.5,14.7,423895,12830,25006,5953581,56,44.9,13,337572,10359,9840,4453996
教育，学習支援業（学校教育を除く）,87,46.3,12.9,372995,10824,47648,5457691,63,45.7,12.7,379320,12588,45830,5600811,24,47.9,13.4,356393,6193,52607,5071265
医療，福祉,125,50.9,9.7,401343,9082,29779,5693018,61,48.1,9.7,436498,11226,21329,6263346,64,53.7,9.8,367836,7038,38844,5160089
サービス業（他に分類されないもの）,343,49,18,444234,12968,45796,7093096,305,48.9,18.4,455833,13080,48916,7264709,38,49.6,15.3,351132,12076,21248,5751805
