表側１,表側２,表側３,回答企業数(件),経営の先行き不安、経営悪化の回避(％),主要顧客との契約終了(％),経営者の高年齢化(％),経営者の健康面（気力、体力）の不安(％),借入金・個人保証の問題(％),創業時より自分の代でやめる予定(％),その他(％),無回答(％)
,,"今回調査
（全体）",45,15.6,0.0,42.2,6.7,0.0,20.0,0.0,15.6
,,前回調査,44,18.2,2.3,47.7,9.1,0.0,4.5,6.8,11.4
業種別,,食料品卸売業,10,30.0,0.0,10.0,10.0,0.0,40.0,0.0,10.0
業種別,,生鮮食品卸売業,4,0.0,0.0,25.0,25.0,0.0,25.0,0.0,25.0
業種別,,加工食品等卸売業,6,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
業種別,,衣料品関連卸売業,6,16.7,0.0,33.3,0.0,0.0,16.7,0.0,33.3
業種別,,住関連卸売業,13,15.4,0.0,30.8,15.4,0.0,15.4,0.0,23.1
業種別,,その他卸売業,15,6.7,0.0,73.3,0.0,0.0,13.3,0.0,6.7
従業者規模別,,１～５人,40,15.0,0.0,45.0,7.5,0.0,20.0,0.0,12.5
従業者規模別,,６～９人,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
従業者規模別,,10～49人,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
従業者規模別,,50人以上,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取引形態別,一次卸,小売直取引卸,13,15.4,0.0,46.2,0.0,0.0,7.7,0.0,30.8
取引形態別,一次卸,他部門直取引卸,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
取引形態別,一次卸,元卸,2,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
取引形態別,二次卸,中間卸,7,0.0,0.0,42.9,14.3,0.0,28.6,0.0,14.3
取引形態別,二次卸,最終卸,9,22.2,0.0,22.2,22.2,0.0,33.3,0.0,0.0
取引形態別,その他,製造問屋,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取引形態別,その他,その他卸,11,18.2,0.0,36.4,0.0,0.0,27.3,0.0,18.2
年間売上高増減別（3年前）,,大幅増加（10％以上）,3,33.3,0.0,33.3,0.0,0.0,33.3,0.0,0.0
年間売上高増減別（3年前）,,やや増加（10％未満）,3,33.3,0.0,33.3,33.3,0.0,0.0,0.0,0.0
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,7,0.0,0.0,71.4,0.0,0.0,28.6,0.0,0.0
年間売上高増減別（3年前）,,やや減少（10％未満）,8,37.5,0.0,37.5,0.0,0.0,25.0,0.0,0.0
年間売上高増減別（3年前）,,大幅減少（10％以上）,23,8.7,0.0,34.8,8.7,0.0,17.4,0.0,30.4
売上高経常利益率別,,黒字（プラス）,19,21.1,0.0,47.4,0.0,0.0,26.3,0.0,5.3
売上高経常利益率別,,赤字（マイナス）,25,12.0,0.0,36.0,12.0,0.0,16.0,0.0,24.0
経常損益の変化別（3年前）,,増益,6,33.3,0.0,33.3,16.7,0.0,0.0,0.0,16.7
経常損益の変化別（3年前）,,横ばい,16,18.8,0.0,37.5,6.3,0.0,18.8,0.0,18.8
経常損益の変化別（3年前）,,減益,22,9.1,0.0,45.5,4.5,0.0,27.3,0.0,13.6
