区分,集計企業数（社）,平均年間所定労働時間（時間:分）,年間所定労働時間の分布／１６００時間未満（社）,年間所定労働時間の分布／１６００時間以上１６５０時間未満（社）,年間所定労働時間の分布／１６５０時間以上１７００時間未満（社）,年間所定労働時間の分布／１７００時間以上１７５０時間未満（社）,年間所定労働時間の分布／１７５０時間以上１８００時間未満（社）,年間所定労働時間の分布／１８００時間以上１８５０時間未満（社）,年間所定労働時間の分布／１８５０時間以上１９００時間未満（社）,年間所定労働時間の分布／１９００時間以上１９５０時間未満（社）,年間所定労働時間の分布／１９５０時間以上２０００時間未満（社）,年間所定労働時間の分布／２０００時間以上２０５０時間未満（社）,年間所定労働時間の分布／２０５０時間以上２１００時間未満（社）,年間所定労働時間の分布／２１００時間以上（社）,年間所定労働時間の分布／無回答（社）,年間所定労働時間の規定の有無／「就業規則等」で決めている（社）,年間所定労働時間の規定の有無／「就業規則等」で決めていない（社）,年間所定労働時間の規定の有無／無回答（社）
調査産業計,876,1930:20:00,11,3,23,22,36,90,70,168,133,97,107,41,75,455,378,43
労組有,63,1917:31:00,0,0,2,1,4,9,7,13,7,6,4,2,8,35,24,4
労組無,813,1931:17:00,11,3,21,21,32,81,63,155,126,91,103,39,67,420,354,39
建設業,71,1973:11:00,2,0,0,0,1,5,7,9,11,7,19,5,5,46,22,3
製造業,207,1933:11:00,0,0,3,4,10,24,27,44,29,35,15,4,12,125,73,9
情報通信業,58,1862:58:00,1,0,2,1,3,10,5,22,6,1,0,0,7,21,33,4
運輸業，郵便業,42,1985:23:00,0,1,2,0,2,2,1,3,3,6,11,3,8,24,15,3
卸売業，小売業,180,1951:27:00,1,0,5,3,12,19,6,23,24,21,33,12,21,93,78,9
金融業，保険業,27,1862:10:00,0,0,1,2,2,9,2,4,5,0,1,0,1,8,18,1
不動産業，物品賃貸業,16,1856:52:00,1,0,0,1,1,2,3,2,0,3,2,1,0,8,8,0
学術研究，専門・技術サービス業,57,1883:17:00,0,0,5,4,2,5,4,17,14,2,1,0,3,27,28,2
宿泊業，飲食サービス業,43,1956:44:00,1,2,1,0,0,3,2,5,8,3,8,6,4,18,22,3
生活関連サービス業，娯楽業,34,1961:10:00,0,0,0,1,0,4,3,5,8,4,2,3,4,18,14,2
教育，学習支援業（学校教育を除く）,30,1827:34:00,3,0,3,2,0,1,3,9,3,3,2,0,1,12,17,1
医療，福祉,57,1947:50:00,2,0,0,1,1,2,0,16,13,5,10,2,5,28,27,2
サービス業（他に分類されないもの）,54,1938:52:00,0,0,1,3,2,4,7,9,9,7,3,5,4,27,23,4
10～49人,585,1932:52:00,10,3,16,15,20,60,35,101,100,62,80,33,50,289,269,27
50～99人,188,1919:08:00,1,0,6,3,13,24,21,37,22,22,16,6,17,111,68,9
100～299人,103,1936:16:00,0,0,1,4,3,6,14,30,11,13,11,2,8,55,41,7
