表側１,表側２,表側３,回答企業数(件),10％未満(％),10～15％未満(％),15～20％未満(％),20～25％未満(％),25～30％未満(％),30～35％未満(％),35～40％未満(％),40％以上(％),無回答(％)
,,今回調査（全体）,2003,18,13.7,13.3,10.1,9,9.4,6.3,8.5,11.6
,,前回調査,2189,22,13.1,12.5,10.5,9.1,8.2,6.7,8.3,9.5
業種別,,総合商品小売業,164,18.9,11,11,9.1,13.4,25,2.4,1.2,7.9
業種別,,生鮮食品小売業,113,16.8,13.3,12.4,15,10.6,8,6.2,0.9,16.8
業種別,,食料品関連小売業,511,15.9,15.5,17.6,10.8,6.5,6.7,3.3,8.8,15.1
業種別,,衣料品関連小売業,314,17.5,10.5,8.6,8,11.5,11.1,9.9,9.9,13.1
業種別,,住関連小売業,162,14.2,14.2,11.7,15.4,10.5,8,8.6,9.3,8
業種別,,その他小売業,737,20.4,14.4,13.3,9,8.3,7.6,7.2,10.4,9.5
従業者規模別,,1～2人,1059,18.8,14.4,14.1,10.6,7.6,6.9,6.1,8.4,13.1
従業者規模別,,3～5人,488,15.4,13.9,13.5,10.7,9.8,9.8,6.1,9.4,11.3
従業者規模別,,6～19人,272,21.7,12.5,13.2,9.6,11,13.2,7.4,6.3,5.1
従業者規模別,,20人以上,134,14.2,10.4,9.7,5.2,13.4,21.6,6.7,11.9,6.7
