表側１,表側２,表側３,回答企業数(件),40歳未満(%),40歳代(%),50歳代(%),60歳代(%),70歳以上(%),無回答(%)
,,"今回調査
（全体）",2141,8.0,14.5,21.3,25.3,24.2,6.6
,,前回調査,2003,9.9,12.2,20.1,24.7,24.4,8.7
業種別,,総合商品小売業,189,54.0,32.3,8.5,2.1,1.1,2.1
業種別,,生鮮食品小売業,134,2.2,6.0,23.1,32.1,28.4,8.2
業種別,,食料品関連小売業,535,4.7,12.5,21.9,26.7,26.2,8.0
業種別,,衣料品関連小売業,298,4.0,10.4,12.8,35.2,29.9,7.7
業種別,,住関連小売業,167,3.0,9.0,22.2,31.1,27.5,7.2
業種別,,その他小売業,773,2.8,15.9,27.7,23.7,24.1,5.8
従業者規模別,,１～２人,1066,1.2,5.4,16.6,29.0,41.0,6.8
従業者規模別,,３～５人,486,2.9,11.9,29.4,37.4,13.4,4.9
従業者規模別,,６～19人,336,20.5,31.8,32.4,11.0,0.6,3.6
従業者規模別,,20人以上,170,41.8,47.1,10.0,0.6,0.0,0.6
