表側１,表側２,表側３,回答企業数(件),赤字(マイナス)(％),0～2％未満(％),2～4％未満(％),4～10％未満(％),10％以上(％),無回答(％)
,,今回調査（全体）,760,37.9,25.4,13.6,12.5,6.6,4.1
,,前回調査,823,31.1,30.9,14,11.8,4.4,7.9
業種別,,食料品卸売業,237,36.3,25.7,15.2,11.8,6.8,4.2
業種別,,生鮮食品卸売業,126,38.9,25.4,15.9,8.7,7.1,4
業種別,,加工食品等卸売業,111,33.3,26.1,14.4,15.3,6.3,4.5
業種別,,衣料品関連卸売業,145,46.9,22.8,10.3,13.1,3.4,3.4
業種別,,住関連卸売業,83,34.9,26.5,15.7,14.5,7.2,1.2
業種別,,その他卸売業,288,35.1,26,13.5,12.5,7.6,5.2
従業者規模別,,1～5人,399,46.1,19.3,11.5,12.3,6,4.8
従業者規模別,,6～9人,101,33.7,28.7,9.9,15.8,7.9,4
従業者規模別,,10～49人,208,25.5,36.1,20.2,11.5,4.3,2.4
従業者規模別,,50人以上,36,33.3,22.2,11.1,16.7,16.7,0
取引形態別,一次卸,小売直取引卸,219,39.7,25.1,11.4,14.2,5.9,3.7
取引形態別,一次卸,他部門直取引卸,50,26,28,24,10,12,0
取引形態別,一次卸,元卸,154,32.5,27.9,16.2,14.3,5.2,3.9
取引形態別,二次卸,中間卸,85,40,21.2,15.3,9.4,7.1,7.1
取引形態別,二次卸,最終卸,135,40.7,27.4,10.4,13.3,5.9,2.2
取引形態別,その他,製造問屋,19,52.6,15.8,10.5,10.5,10.5,0
取引形態別,その他,その他卸,77,41.6,22.1,13,10.4,9.1,3.9
