表側１,表側２,表側３,回答企業数(件),需要増への対応が困難(%),事業の維持が困難(%),新分野進出・新規事業・海外展開等の遅れ(%),技術やノウハウの承継が困難(%),商品・サービスの質の低下(%),従業員の時間外労働の増加・有給取得率の低下(%),採用コストの増加(%),賃金引き上げに伴う人件費の増加(%),従業員の意欲低下(%),労働条件悪化による従業員の離職の増加(%),その他(%),無回答(%)
,,"今回調査
（全体）",323,42.1,34.1,9.0,12.7,26.0,23.5,33.4,48.0,17.6,10.8,1.5,3.7
業種別,,総合商品小売業,122,29.5,41.8,1.6,8.2,34.4,32.0,54.1,77.0,20.5,17.2,1.6,1.6
業種別,,生鮮食品小売業,13,84.6,30.8,0.0,7.7,30.8,15.4,30.8,15.4,15.4,7.7,0.0,7.7
業種別,,食料品関連小売業,50,60.0,26.0,16.0,14.0,26.0,16.0,20.0,40.0,18.0,8.0,0.0,6.0
業種別,,衣料品関連小売業,28,35.7,25.0,17.9,14.3,7.1,10.7,14.3,28.6,25.0,3.6,3.6,7.1
業種別,,住関連小売業,17,58.8,17.6,17.6,17.6,23.5,5.9,5.9,17.6,11.8,5.9,5.9,5.9
業種別,,その他小売業,87,41.4,33.3,12.6,16.1,19.5,25.3,25.3,29.9,11.5,6.9,1.1,2.3
従業者規模別,,１～２人,20,45.0,30.0,20.0,20.0,15.0,20.0,10.0,20.0,10.0,0.0,5.0,10.0
従業者規模別,,３～５人,62,56.5,30.6,9.7,16.1,16.1,9.7,9.7,27.4,6.5,3.2,0.0,6.5
従業者規模別,,６～19人,132,40.2,35.6,7.6,12.9,31.8,22.7,36.4,53.8,16.7,9.1,1.5,3.0
従業者規模別,,20人以上,101,37.6,36.6,8.9,8.9,25.7,31.7,48.5,59.4,24.8,20.8,1.0,2.0
年間売上高増減別（3年前）,,増加（５％以上）,68,48.5,25.0,13.2,8.8,23.5,29.4,30.9,42.6,8.8,10.3,0.0,5.9
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,113,40.7,32.7,5.3,11.5,25.7,27.4,37.2,55.8,17.7,13.3,1.8,1.8
年間売上高増減別（3年前）,,やや減少（10％未満）,58,39.7,41.4,12.1,19.0,31.0,17.2,34.5,44.8,24.1,15.5,3.4,5.2
年間売上高増減別（3年前）,,減少（20％未満）,44,45.5,40.9,9.1,11.4,27.3,18.2,29.5,43.2,22.7,6.8,0.0,4.5
年間売上高増減別（3年前）,,大幅減少（20％以上）,33,36.4,36.4,9.1,18.2,27.3,15.2,30.3,42.4,21.2,3.0,3.0,3.0
売上高経常利益率別,,黒字（プラス）,212,40.6,32.5,10.4,13.2,25.9,25.9,37.3,51.9,16.5,11.8,1.9,3.8
売上高経常利益率別,,赤字（マイナス）,89,41.6,39.3,6.7,11.2,25.8,19.1,25.8,39.3,22.5,10.1,0.0,3.4
経常損益の変化別（3年前）,,増益,78,39.7,23.1,14.1,11.5,25.6,24.4,26.9,38.5,12.8,9.0,0.0,3.8
経常損益の変化別（3年前）,,横ばい,102,52.0,33.3,6.9,15.7,23.5,27.5,38.2,50.0,17.6,14.7,0.0,2.0
経常損益の変化別（3年前）,,減益,130,36.2,43.8,8.5,11.5,29.2,20.8,33.1,51.5,22.3,10.0,3.1,5.4
