学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和3年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,-,-,-,-,-,-,-,-
学歴計,20～21歳,1,x,x,x,4,x,x,x
学歴計,22～24歳,6,2.3,227000,3311260,13,1.7,217838,2710800
学歴計,25～29歳,23,3.2,260654,3567617,28,3,226105,3123668
学歴計,30～34歳,43,4,271131,4231113,26,5.5,271259,3516935
学歴計,35～39歳,37,7.8,311551,5035558,26,8,277492,3910276
学歴計,40～44歳,44,8.1,351533,5157449,44,7.9,274125,3643493
学歴計,45～49歳,46,16.2,391128,5836348,45,7.9,263496,3701923
学歴計,50～54歳,40,13.1,383662,5657028,25,15.2,331971,4464386
学歴計,55～59歳,26,22.9,397886,5467381,9,18.1,398113,4950478
学歴計,60歳以上,11,11.4,383026,5580811,3,x,x,x
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,1,x,x,x,-,-,-,-
中学卒,25～29歳,-,-,-,-,-,-,-,-
中学卒,30～34歳,-,-,-,-,-,-,-,-
中学卒,35～39歳,-,-,-,-,-,-,-,-
中学卒,40～44歳,1,x,x,x,-,-,-,-
中学卒,45～49歳,-,-,-,-,-,-,-,-
中学卒,50～54歳,-,-,-,-,-,-,-,-
中学卒,55～59歳,-,-,-,-,-,-,-,-
中学卒,60歳以上,-,-,-,-,-,-,-,-
高校卒,18～19歳,-,-,-,-,-,-,-,-
高校卒,20～21歳,-,-,-,-,-,-,-,-
高校卒,22～24歳,1,x,x,x,-,-,-,-
高校卒,25～29歳,-,-,-,-,4,x,x,x
高校卒,30～34歳,7,3.9,234380,3847729,-,-,-,-
高校卒,35～39歳,8,10,301381,5328900,6,6,239090,3984000
高校卒,40～44歳,5,5.6,325408,5329800,2,x,x,x
高校卒,45～49歳,9,16.8,435472,7199233,2,x,x,x
高校卒,50～54歳,11,10.8,341507,5118873,7,15.9,293400,4083529
高校卒,55～59歳,8,27,398643,5545525,2,x,x,x
高校卒,60歳以上,1,x,x,x,1,x,x,x
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,-,-,-,-
高専・短大卒,22～24歳,-,-,-,-,1,x,x,x
高専・短大卒,25～29歳,1,x,x,x,-,-,-,-
高専・短大卒,30～34歳,-,-,-,-,3,x,x,x
高専・短大卒,35～39歳,1,x,x,x,3,x,x,x
高専・短大卒,40～44歳,1,x,x,x,3,x,x,x
高専・短大卒,45～49歳,2,x,x,x,8,8,250567,3496825
高専・短大卒,50～54歳,-,-,-,-,5,10.8,376365,4645833
高専・短大卒,55～59歳,-,-,-,-,3,x,x,x
高専・短大卒,60歳以上,-,-,-,-,-,-,-,-
専門学校卒,20～21歳,-,-,-,-,4,x,x,x
専門学校卒,22～24歳,2,x,x,x,5,2.6,223600,2709800
専門学校卒,25～29歳,7,2.9,228577,3125017,2,x,x,x
専門学校卒,30～34歳,17,5.5,273347,4495343,3,x,x,x
専門学校卒,35～39歳,7,7.3,333429,5556575,6,9.8,279350,3555067
専門学校卒,40～44歳,18,9.2,325505,5006567,10,7.6,268130,3486160
専門学校卒,45～49歳,15,15.8,355097,4897287,12,8.4,275933,3797867
専門学校卒,50～54歳,13,19.1,414431,5717308,5,10.8,288712,3996160
専門学校卒,55～59歳,6,24.3,446933,5791650,-,-,-,-
専門学校卒,60歳以上,1,x,x,x,-,-,-,-
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,2,x,x,x,7,0.7,213184,-
大学卒,25～29歳,15,3.3,270834,3786545,22,3,225411,3178781
大学卒,30～34歳,19,2.8,282689,4129560,20,4.9,276246,3495435
大学卒,35～39歳,20,7.2,305117,4686111,11,7.1,275872,3701330
大学卒,40～44歳,16,7.8,428983,5712225,28,8.7,279344,3685352
大学卒,45～49歳,20,15.5,403860,6047090,23,6.5,263812,3768843
大学卒,50～54歳,16,9.7,387643,5978031,8,20,365011,5101929
大学卒,55～59歳,12,19.4,372857,5253150,4,x,x,x
大学卒,60歳以上,8,13.9,437560,5912663,2,x,x,x
