表側,年平均1か月消費支出額(円),食料(%),住居(%),光熱・水道(%),家具・家事用品(%),被服及び履物(%),保健医療(%),交通・通信(%),教育(%),教養娯楽(%),その他の消費支出(%)
2012年,321982,24.5,7.9,7.2,3.4,4.6,4.8,10.9,6.0,11.4,19.2
2013年,333423,24.1,8.9,7.1,3.4,4.6,4.7,11.3,5.3,11.4,19.3
2014年,324036,25.0,7.9,7.4,3.7,4.7,4.7,11.3,4.7,11.8,18.8
2015年,326795,25.6,7.7,7.1,3.4,4.7,4.7,10.8,5.8,11.5,18.7
2016年,320605,26.4,7.7,6.4,3.5,4.5,4.7,10.4,6.2,11.3,18.8
2017年,327903,26.1,7.3,6.4,3.7,4.3,4.7,11.2,6.0,11.4,18.9
2018年,322314,26.7,7.4,6.6,3.3,4.2,5.0,11.1,6.3,11.2,18.1
2019年,326563,26.9,7.2,6.5,3.8,4.3,5.1,11.2,5.9,11.5,17.6
2020年,319428,28.2,8.6,6.7,4.3,3.6,5.6,10.7,6.0,9.9,16.4
2021年,322669,28.0,8.2,6.3,4.3,3.4,5.7,10.7,5.9,10.0,17.4
2022年,324667,27.4,8.3,7.2,3.9,3.6,5.3,10.7,6.0,10.8,16.7
