区分,集計企業数（社）,記入あり（社）,１０％未満（社）,１０％以上２０％未満（社）,２０％以上３０％未満（社）,３０％以上４０％未満（社）,４０％以上５０％未満（社）,５０％以上（社）,査定等を行っていないため格差なし（社）,無回答（社）
調査産業計,876,750,248,177,83,40,25,45,132,126
労組有,63,55,19,11,6,2,2,5,10,8
労組無,813,695,229,166,77,38,23,40,122,118
建設業,71,68,24,18,7,2,3,5,9,3
製造業,207,186,60,61,20,14,5,9,17,21
情報通信業,58,49,16,8,3,3,2,8,9,9
運輸業，郵便業,42,37,11,7,6,1,1,1,10,5
卸売業，小売業,180,151,54,31,18,11,4,6,27,29
金融業，保険業,27,25,8,6,3,1,2,3,2,2
不動産業，物品賃貸業,16,13,5,2,0,1,0,2,3,3
学術研究，専門・技術サービス業,57,44,14,10,6,2,2,3,7,13
宿泊業，飲食サービス業,43,31,10,3,3,1,1,1,12,12
生活関連サービス業，娯楽業,34,31,9,8,2,2,3,1,6,3
教育，学習支援業(学校教育を除く）,30,24,7,3,1,1,1,1,10,6
医療，福祉,57,47,18,10,5,0,1,2,11,10
サービス業（他に分類されないもの）,54,44,12,10,9,1,0,3,9,10
10～49人,585,490,162,104,52,23,18,25,106,95
50～99人,188,166,59,46,18,10,3,10,20,22
100～299人,103,94,27,27,13,7,4,10,6,9
