表側１,表側２,表側３,回答企業数(件),仕入先が多すぎる(％),仕入先が限定されている(％),仕入先の新規開拓(％),計画的な仕入が困難(％),商品在庫が過大(％),商品アイテム数が過大(％),商品アイテム数が過少(％),業務の情報化対応の遅れ(％),市場情報の不足(％),商品情報の不足(％),仕入コスト負担の増大(％),交渉力の弱さ(％),仕入先の倒産等による取引中止(％),その他(％),特にない(％),無回答(％)
,,今回調査（全体）,760,3.3,25.8,23,11.8,14.9,8.9,5.1,5.3,7.4,6.3,20.4,8.6,6.2,2.2,20.5,2.8
業種別,,食料品卸売業,237,2.5,29.1,16.9,13.1,11.4,5.1,5.5,8.4,9.3,8.4,16,8.4,5.9,2.5,22.4,3.4
業種別,,生鮮食品卸売業,126,1.6,31.7,15.1,14.3,11.1,4,5.6,7.9,8.7,8.7,14.3,7.1,3.2,0.8,20.6,3.2
業種別,,加工食品等卸売業,111,3.6,26.1,18.9,11.7,11.7,6.3,5.4,9,9.9,8.1,18,9.9,9,4.5,24.3,3.6
業種別,,衣料品関連卸売業,145,2.1,25.5,32.4,10.3,15.2,8.3,6.9,4.1,7.6,5.5,29,7.6,8.3,2.8,14.5,2.8
業種別,,住関連卸売業,83,8.4,13.3,34.9,9.6,12,8.4,6,4.8,9.6,7.2,15.7,7.2,7.2,2.4,15.7,2.4
業種別,,その他卸売業,288,3.1,26,20.1,12.5,17.4,12.2,3.5,3.5,5.2,4.9,19.4,9.7,5.2,1.7,24,2.4
従業者規模別,,1～5人,399,0.8,30.8,15.8,13,10.5,5.8,6.8,3.5,7,6.5,19,7.5,9,1.8,23.8,3.3
従業者規模別,,6～9人,101,3,20.8,34.7,7.9,15.8,6.9,5.9,5,8.9,4,21.8,6.9,3,3,17.8,4
従業者規模別,,10～49人,208,7.7,19.2,30.8,12,20.7,13,1.9,7.7,7.7,7.2,24,12.5,3.8,2.4,16.8,1.4
従業者規模別,,50人以上,36,8.3,19.4,30.6,5.6,27.8,27.8,0,13.9,8.3,8.3,16.7,5.6,0,2.8,13.9,0
売上高増減別(前年同期比),,増加,56,1.8,23.2,21.4,16.1,12.5,8.9,3.6,3.6,0,0,19.6,3.6,3.6,5.4,23.2,1.8
売上高増減別(前年同期比),,横ばい,108,8.3,23.1,25,6.5,11.1,10.2,3.7,6.5,4.6,5.6,19.4,5.6,2.8,1.9,24.1,1.9
売上高増減別(前年同期比),,減少,585,2.6,26.7,22.9,12.3,16.1,8.9,5.6,5.3,8.7,7.2,20.9,9.7,7.2,2.1,19.3,2.7
売上高増減別(３年前),,増加,136,2.2,19.9,22.8,12.5,19.1,12.5,2.2,6.6,6.6,6.6,18.4,8.8,2.9,6.6,19.1,2.2
売上高増減別(３年前),,横ばい,130,5.4,20.8,27.7,11.5,11.5,6.9,5.4,6.9,6.2,7.7,20,9.2,5.4,1.5,21.5,3.8
売上高増減別(３年前),,減少,443,2.7,28.2,22.6,11.7,15.1,8.1,6.1,4.3,8.4,5.9,21.9,8.8,7.2,1.4,20.8,2.7
