区分,総平均／集計企業数（社）,総平均／住宅手当総平均（円）,総平均／扶養家族あり（円）,総平均／扶養家族なし（円）,一律支給／集計企業数（社）,一律支給／平均額（円）,一律支給／扶養家族あり（円）,一律支給／扶養家族なし（円）,住宅の形態別支給／集計企業数（社）,住宅の形態別支給／平均／平均額（円）,住宅の形態別支給／平均／賃貸（円）,住宅の形態別支給／平均／持家（円）,住宅の形態別支給／扶養家族あり／平均額（円）,住宅の形態別支給／扶養家族あり／賃貸（円）,住宅の形態別支給／扶養家族あり／持家（円）,住宅の形態別支給／扶養家族なし／平均額（円）,住宅の形態別支給／扶養家族なし／賃貸（円）,住宅の形態別支給／扶養家族なし／持家（円）
調査産業計／最高,,,,,,,80000,45000,,,,,,70000,83000,,80000,56000
調査産業計／平均,223,19011,20338,17628,164,17078,18381,15723,59,22738,24425,20296,24089,25667,21880,21319,23156,18563
調査産業計／最低,,,,,,,1500,1000,,,,,,2500,2500,,1000,2500
建設業／最高,,,,,,,80000,40000,,,,,,70000,70000,,50000,50000
建設業／平均,25,22453,24529,20100,13,24391,26333,22273,12,21366,21465,21239,23545,24225,22730,18842,18455,19375
建設業／最低,,,,,,,10000,10000,,,,,,2500,10000,,1000,5000
製造業／最高,,,,,,,45000,45000,,,,,,63000,25000,,50000,25000
製造業／平均,68,16746,18000,15509,54,15784,16852,14717,14,19163,22000,14824,20952,24769,14750,17455,19231,14889
製造業／最低,,,,,,,5000,2000,,,,,,5000,5000,,3000,3000
情報通信業／最高,,,,,,,40000,40000,,,,,,x,x,,x,x
情報通信業／平均,13,23667,24231,23000,12,24261,25417,23000,1,x,x,x,x,x,x,x,x,x
情報通信業／最低,,,,,,,10000,10000,,,,,,x,x,,x,x
運輸業，郵便業／最高,,,,,,,26000,26000,,,,,,-,-,,-,-
運輸業，郵便業／平均,9,13000,13556,12444,9,13000,13556,12444,-,-,-,-,-,-,-,-,-,-
運輸業，郵便業／最低,,,,,,,5000,5000,,,,,,-,-,,-,-
卸売業，小売業／最高,,,,,,,80000,30000,,,,,,55000,83000,,55000,56000
卸売業，小売業／平均,56,18955,21331,16293,39,14460,16346,12417,17,25979,23815,28762,28808,26667,31727,22636,20250,25500
卸売業，小売業／最低,,,,,,,5000,2000,,,,,,10000,10000,,5000,5000
金融業，保険業／最高,,,,,,,x,x,,,,,,x,x,,x,x
金融業，保険業／平均,5,24077,18833,28571,2,x,x,x,3,x,x,x,x,x,x,x,x,x
金融業，保険業／最低,,,,,,,x,x,,,,,,x,x,,x,x
不動産業，物品賃貸業／最高,,,,,,,x,x,,,,,,x,x,,x,x
不動産業，物品賃貸業／平均,6,27100,27600,26600,4,x,x,x,2,x,x,x,x,x,x,x,x,x
不動産業，物品賃貸業／最低,,,,,,,x,x,,,,,,x,x,,x,x
学術研究，専門・技術サービス業／最高,,,,,,,30000,30000,,,,,,x,x,,x,x
学術研究，専門・技術サービス業／平均,9,22333,24286,20625,7,22857,24286,21429,2,x,x,x,x,x,x,x,x,x
学術研究，専門・技術サービス業／最低,,,,,,,10000,10000,,,,,,x,x,,x,x
宿泊業，飲食サービス業／最高,,,,,,,20000,20000,,,,,,-,-,,-,-
宿泊業，飲食サービス業／平均,6,11358,11817,10900,6,11358,11817,10900,-,-,-,-,-,-,-,-,-,-
宿泊業，飲食サービス業／最低,,,,,,,1500,1000,,,,,,-,-,,-,-
生活関連サービス業，娯楽業／最高,,,,,,,x,x,,,,,,x,x,,x,x
生活関連サービス業，娯楽業／平均,5,26273,25900,26583,3,x,x,x,2,x,x,x,x,x,x,x,x,x
生活関連サービス業，娯楽業／最低,,,,,,,x,x,,,,,,x,x,,x,x
教育，学習支援業(学校教育を除く）／最高,,,,,,,x,x,,,,,,x,x,,x,x
教育，学習支援業(学校教育を除く）／平均,4,x,x,x,3,x,x,x,1,x,x,x,x,x,x,x,x,x
教育，学習支援業(学校教育を除く）／最低,,,,,,,x,x,,,,,,x,x,,x,x
医療，福祉／最高,,,,,,,25000,25000,,,,,,x,x,,x,x
医療，福祉／平均,8,14643,12500,17500,5,13222,12800,13750,3,x,x,x,x,x,x,x,x,x
医療，福祉／最低,,,,,,,4000,5000,,,,,,x,x,,x,x
サービス業（他に分類されないもの）／最高,,,,,,,55000,43000,,,,,,x,x,,x,x
サービス業（他に分類されないもの）／平均,9,18833,22222,15444,7,16857,20000,13714,2,x,x,x,x,x,x,x,x,x
サービス業（他に分類されないもの）／最低,,,,,,,5000,5000,,,,,,x,x,,x,x
10～49人／最高,,,,,,,80000,45000,,,,,,55000,83000,,80000,56000
10～49人／平均,137,18579,19834,17260,100,17143,18558,15653,37,21495,21114,22081,22438,21638,23658,20511,20571,20417
10～49人／最低,,,,,,,1500,1000,,,,,,2500,2500,,1000,2500
50～99人／最高,,,,,,,40000,40000,,,,,,70000,70000,,50000,50000
50～99人／平均,52,18848,20321,17375,44,17505,18767,16212,8,24286,23269,25938,27000,25000,30000,21818,21786,21875
50～99人／最低,,,,,,,5000,2000,,,,,,5000,5000,,3000,3000
100～299人／最高,,,,,,,45000,45000,,,,,,63000,30000,,60000,25000
100～299人／平均,34,20592,21961,19128,20,15855,16685,15025,14,24459,31970,15241,26019,34300,16358,22696,29462,13900
100～299人／最低,,,,,,,5000,3000,,,,,,10000,7000,,5000,3000
