表側(年),全体(％),卸売業(％),小売業(％)
2008Ⅰ,20.8,17.2,12.4
2008Ⅱ,20.2,17.6,12.2
2008Ⅲ,19.4,16.7,11.7
2008Ⅳ,18.7,15.6,10.7
2009Ⅰ,17.5,14.7,10.4
2009Ⅱ,16.6,14,10.3
2009Ⅲ,16,14,10.7
2009Ⅳ,15.1,14.1,10.2
2010Ⅰ,15.5,14,10.1
2010Ⅱ,15.4,13.5,10.3
2010Ⅲ,15.5,13,10.1
2010Ⅳ,16,12,11.5
2011Ⅰ,15.9,12.4,11.8
2011Ⅱ,15.6,12.8,11.2
2011Ⅲ,15.7,12.7,10.6
2011Ⅳ,16,13.7,10.4
2012Ⅰ,16,13.3,10.6
2012Ⅱ,16.5,13.3,11.1
2012Ⅲ,16.9,14.7,11.8
2012Ⅳ,17.7,14.9,12.5
2013Ⅰ,18.1,14.9,12.9
2013Ⅱ,18.4,14.6,13.6
2013Ⅲ,18.3,13.1,13.8
2013Ⅳ,17.9,12.4,13.8
2014Ⅰ,18.9,13.2,14.6
2014Ⅱ,19,13.8,14.8
2014Ⅲ,19.4,15,15.7
2014Ⅳ,19.4,14.9,14.5
2015Ⅰ,19.2,15.1,13.7
2015Ⅱ,19.4,15.5,12.8
2015Ⅲ,19,14.9,11.5
2015Ⅳ,18.9,15.6,11.4
2016Ⅰ,18.2,15.3,11
2016Ⅱ,17.7,14.5,10.9
2016Ⅲ,17.8,15.4,10.4
2016Ⅳ,18.5,16.3,11.5
2017Ⅰ,18.7,16.5,11.1
2017Ⅱ,19.6,17.5,11.2
2017Ⅲ,19.8,17.5,11.6
2017Ⅳ,19.9,18,11.1
2018Ⅰ,20.5,18.8,11.1
2018Ⅱ,20.2,18.8,11.9
2018Ⅲ,20.3,18.1,13.6
2018Ⅳ,20.5,17.9,13.5
2019Ⅰ,20.3,17.9,13.9
2019Ⅱ,20.4,18.1,13.9
2019Ⅲ,20.7,18.5,14
2019Ⅳ,20.2,17.5,14.3
2020Ⅰ,20,17.1,14.5
2020Ⅱ,19.2,16,14.2
2020Ⅲ,18.2,15,13.1
2020Ⅳ,17.5,15,11.8
