表側１,表側２,表側３,回答企業数(件),40歳未満(％),40歳代(％),50歳代(％),60歳代(％),70歳以上(％),無回答(％)
,,今回調査（全体）,2003,2.1,9.5,16.4,24.5,46.7,0.8
,,前回調査,2189,2.1,10.5,16.4,27.6,42.2,1.1
業種別,,総合商品小売業,164,6.1,24.4,26.2,25.6,15.9,1.8
業種別,,生鮮食品小売業,113,0,4.4,12.4,18.6,60.2,4.4
業種別,,食料品関連小売業,511,1.4,7.6,17,20.5,53,0.4
業種別,,衣料品関連小売業,314,1.9,4.8,10.5,25.8,56.1,1
業種別,,住関連小売業,162,0.6,8,16,26.5,48.8,0
業種別,,その他小売業,737,2.4,10.6,17,26.7,42.9,0.4
従業者規模別,,1～2人,1059,1.2,5,12.9,25.6,55,0.3
従業者規模別,,3～5人,488,2,9.6,18.2,22.1,47.5,0.4
従業者規模別,,6～19人,272,2.9,20.6,23.5,27.6,24.3,1.1
従業者規模別,,20人以上,134,8.2,24.6,24.6,22.4,19.4,0.7
