表側１,表側２,表側３,回答企業数(件),経営の先行き不安、経営悪化の回避(％),主要顧客との契約終了(％),経営者の高年齢化(％),経営者の健康面(気力、体力)の不安(％),借入金・個人保証の問題(％),その他(％),創業時より自分の代でやめる予定(％),無回答(％)
,,今回調査（全体）,44,18.2,2.3,47.7,9.1,0,6.8,4.5,11.4
業種別,,食料品卸売業,14,21.4,7.1,50,14.3,0,0,0,7.1
業種別,,生鮮食品卸売業,5,0,0,60,20,0,0,0,20
業種別,,加工食品等卸売業,9,33.3,11.1,44.4,11.1,0,0,0,0
業種別,,衣料品関連卸売業,8,25,0,37.5,12.5,0,0,12.5,12.5
業種別,,住関連卸売業,4,0,0,75,0,0,25,0,0
業種別,,その他卸売業,18,16.7,0,44.4,5.6,0,11.1,5.6,16.7
取引形態別,一次卸,小売直取引卸,12,0,8.3,58.3,16.7,0,8.3,8.3,0
取引形態別,一次卸,他部門直取引卸,3,0,0,100,0,0,0,0,0
取引形態別,一次卸,元卸,4,25,0,25,0,0,0,25,25
取引形態別,二次卸,中間卸,3,33.3,0,33.3,0,0,0,0,33.3
取引形態別,二次卸,最終卸,13,23.1,0,38.5,15.4,0,7.7,0,15.4
取引形態別,その他,製造問屋,1,100,0,0,0,0,0,0,0
取引形態別,その他,その他卸,8,25,0,50,0,0,12.5,0,12.5
経常損益の変化別(前年同期比),,増益,2,0,0,100,0,0,0,0,0
経常損益の変化別(前年同期比),,横ばい,3,33.3,0,33.3,0,0,33.3,0,0
経常損益の変化別(前年同期比),,減益,38,15.8,2.6,47.4,10.5,0,5.3,5.3,13.2
経常損益の変化別(３年前),,増益,7,28.6,0,42.9,14.3,0,0,14.3,0
経常損益の変化別(３年前),,横ばい,6,16.7,0,33.3,0,0,16.7,16.7,16.7
経常損益の変化別(３年前),,減益,27,18.5,3.7,51.9,11.1,0,7.4,0,7.4
経常利益率別,,黒字,22,9.1,0,59.1,9.1,0,9.1,4.5,9.1
経常利益率別,,赤字,19,31.6,0,36.8,10.5,0,5.3,5.3,10.5
