区分,勤務延長制度採用企業数（社）,集計企業数（社）,集計企業数／平均年齢（歳）,集計企業数／61歳～64歳（社）,集計企業数／65歳（社）,集計企業数／66歳～67歳（社）,集計企業数／68歳～69歳（社）,集計企業数／70歳（社）,集計企業数／71歳～72歳（社）,集計企業数／73歳～74歳（社）,集計企業数／75歳以上（社）
調査産業計,116,104,69.2,2,44,0,3,26,1,0,28
労組有,7,7,67.1,0,4,0,0,3,0,0,0
労組無,109,97,69.4,2,40,0,3,23,1,0,28
建設業,10,9,70,0,2,0,0,5,0,0,2
製造業,28,26,70.2,1,7,0,2,6,1,0,9
情報通信業,2,2,70,0,1,0,0,0,0,0,1
運輸業，郵便業,12,11,70.6,0,4,0,0,4,0,0,3
卸売業，小売業,20,17,66.7,1,10,0,0,6,0,0,0
金融業，保険業,5,3,68.3,0,1,0,0,2,0,0,0
"不動産業，
物品賃貸業",0,0,0,0,0,0,0,0,0,0,0
"学術研究，
専門・技術サービス業",6,5,69,0,3,0,0,0,0,0,2
"宿泊業，
飲食サービス業",7,5,68,0,3,0,0,1,0,0,1
"生活関連サービス業，
娯楽業",6,6,67.5,0,4,0,0,1,0,0,1
"教育，学習支援業
(学校教育を除く）",3,3,66.7,0,2,0,0,1,0,0,0
医療，福祉,11,11,71.4,0,4,0,0,0,0,0,7
"サービス業（他に
分類されないもの）",6,6,68.8,0,3,0,1,0,0,0,2
10～49人,76,69,68.9,2,32,0,3,12,1,0,19
50～99人,30,26,69.3,0,11,0,0,9,0,0,6
100～299人,10,9,71.7,0,1,0,0,5,0,0,3
