表側(年),期,DI／全体,DI／卸売業,DI／小売業
2014,Ⅰ,12.1,10.5,7.2
2014,Ⅱ,8.5,10.0,6.1
2014,Ⅲ,10.8,8.9,10.1
2014,Ⅳ,10.8,7.3,12.6
2015,Ⅰ,14.2,9.7,14.9
2015,Ⅱ,9.6,6.4,9.2
2015,Ⅲ,11.6,3.4,12.5
2015,Ⅳ,13.7,10.1,14.8
2016,Ⅰ,14.9,12.8,15.4
2016,Ⅱ,11.9,6.4,14.2
2016,Ⅲ,13.1,9.8,10.7
2016,Ⅳ,17.9,14.7,18.9
2017,Ⅰ,16.6,16.2,10.0
2017,Ⅱ,15.9,17.9,9.4
2017,Ⅲ,20.3,17.6,16.5
2017,Ⅳ,22.5,23.7,13.4
2018,Ⅰ,22.2,20.2,17.7
2018,Ⅱ,16.7,12.9,12.6
2018,Ⅲ,19.1,17.0,14.0
2018,Ⅳ,20.4,18.1,14.9
2019,Ⅰ,20.6,19.5,15.0
2019,Ⅱ,19.9,20.5,13.0
2019,Ⅲ,18.3,17.8,18.3
2019,Ⅳ,20.1,17.5,15.8
2020,Ⅰ,7.7,5.3,0.7
2020,Ⅱ,0.1,-0.2,1.4
2020,Ⅲ,-1.0,-1.9,2.8
2020,Ⅳ,2.9,2.9,3.3
2021,Ⅰ,5.2,6.5,0.3
2021,Ⅱ,7.2,4.1,-1.0
2021,Ⅲ,7.7,5.0,1.4
2021,Ⅳ,15.2,14.7,5.9
2022,Ⅰ,15.7,10.6,6.6
2022,Ⅱ,14.9,10.3,7.9
2022,Ⅲ,16.3,14.4,7.9
2022,Ⅳ,21.7,19.3,13.1
2023,Ⅰ,21.9,19.9,14.2
2023,Ⅱ,21.6,17.6,16.9
2023,Ⅲ,23.0,22.4,15.0
2023,Ⅳ,26.1,26.3,20.4
