,,創業者,創業者親族出身(二代目以降),従業員出身(二代目以降),企業外からの就任(二代目以降),その他(二代目以降),無回答,ｎ
,今回調査（全体）,71.4,14.2,8.3,3.6,1.9,0.6,2348
,前回調査,70,14,8.9,4,1.8,1.4,2263
業種別,情報・コンテンツ業,74.2,8,10.9,4.8,1.7,0.3,640
業種別,専門サービス業,80.2,11.5,4.1,1.5,2.1,0.6,820
業種別,技術サービス業,68.2,12.6,10.9,5.3,2.4,0.6,340
業種別,事業サービス業,56,27.4,10.5,3.7,1.6,0.8,507
特定10業種別,ソフトウェア業,80.4,3.8,11.5,3.1,1,0,286
特定10業種別,インターネット附随サービス業,82.3,6.5,6.5,3.2,0,1.6,62
特定10業種別,映像情報制作・配給業,70.6,5.9,16.2,7.4,0,0,68
特定10業種別,出版業,36.4,29.1,21.8,7.3,5.5,0,55
特定10業種別,税理士事務所,73.9,19.7,1.8,0.5,2.8,1.4,218
特定10業種別,デザイン業,80.8,3.8,12.5,2.9,0,0,104
特定10業種別,経営コンサルタント業,90.5,6.7,1.1,0.6,1.1,0,179
特定10業種別,建築設計業,74.4,7.2,11.7,5,1.1,0.6,180
特定10業種別,自動車整備業,50,42.6,5.6,0,0,1.9,54
特定10業種別,建物サービス業,53.2,34.2,9,2.7,0.9,0,111
従業者規模別,1～2人,87.8,7.4,2.3,1,0.9,0.5,971
従業者規模別,3～5人,68.9,19.5,5.2,4,1.7,0.5,573
従業者規模別,6～9人,63.2,18.4,12.8,2.8,2.8,0,250
従業者規模別,10～29人,54.7,16.5,19.6,5.4,3.2,0.6,316
従業者規模別,30人以上,36.2,23.3,23.8,12.9,2.9,1,210
創業時期別,1970年以前,16.5,57.1,15.9,4.4,4.4,1.6,182
創業時期別,1971～1980年,36.7,35.1,15.4,8,3.2,1.6,188
創業時期別,1981～1990年,62.2,19.2,12,5.2,1.1,0.3,349
創業時期別,1991～2000年,75.2,10.2,9.2,4.3,0.9,0.2,423
創業時期別,2001～2010年,83.3,4.5,6.7,3.5,1.3,0.7,550
創業時期別,2011年以降,92.5,1.6,2.6,1.2,2,0,496
