表側１,表側２,表側３,回答企業数(件),仕入先が多すぎる(％),仕入先が限定されている(％),仕入先の新規開拓(％),計画的な仕入が困難(％),商品在庫が過多(％),商品アイテム数が過多(％),商品アイテム数が過少(％),業務の情報化対応の遅れ(％),市場情報の不足(％),商品情報の不足(％),仕入コスト負担の増大(％),交渉力の弱さ(％),仕入先の倒産等による取引中止(％),その他(％),特になし(％),無回答(％)
,,"今回調査
（全体）",767,2.2,21.9,21.4,11.9,11.7,11.5,4.4,5.9,6.6,6.6,37.3,5.7,5.5,2.5,20.2,4.2
,,前回調査,760,3.3,25.8,23,11.8,14.9,8.9,5.1,5.3,7.4,6.3,20.4,8.6,6.2,2.2,20.5,2.8
業種別,,食料品卸売業,213,1.9,23.9,20.2,14.1,5.6,8,6.1,8.5,8,7,34.3,8.9,0.5,2.3,17.8,3.8
業種別,,生鮮食品卸売業,91,1.1,28.6,17.6,13.2,2.2,4.4,6.6,6.6,8.8,8.8,34.1,7.7,1.1,2.2,16.5,5.5
業種別,,加工食品等卸売業,122,2.5,20.5,22.1,14.8,8.2,10.7,5.7,9.8,7.4,5.7,34.4,9.8,0,2.5,18.9,2.5
業種別,,衣料品関連卸売業,111,0.9,18,21.6,9,17.1,9.9,3.6,3.6,5.4,8.1,51.4,2.7,11.7,1.8,14.4,7.2
業種別,,住関連卸売業,155,3.2,24.5,23.2,16.1,11.6,16.8,7.1,2.6,6.5,6.5,31.6,4.5,5.8,1.9,19.4,5.8
業種別,,その他卸売業,270,2.6,20,21.9,9.6,14.4,11.9,2.2,6.7,5.9,6.3,37.8,5.6,6.7,3,24.1,2.2
従業者規模別,,１～５人,406,1.2,27.1,17.7,10.1,8.1,8.4,4.7,4.4,5.7,5.7,33.7,5.2,6.4,2.7,22.7,5.4
従業者規模別,,６～９人,119,1.7,19.3,25.2,13.4,8.4,10.1,4.2,6.7,9.2,8.4,39.5,7.6,5.9,3.4,14.3,4.2
従業者規模別,,10～49人,192,4.7,13.5,28.6,14.1,20.3,16.7,3.6,7.3,8.3,8.9,44.8,6.8,3.1,1.6,18.8,2.1
従業者規模別,,50人以上,28,3.6,17.9,14.3,14.3,17.9,28.6,7.1,10.7,0,3.6,39.3,3.6,10.7,3.6,14.3,0
取引形態別,一次卸,小売直取引卸,229,2.2,20.1,23.6,10,13.1,11.4,4.8,3.9,6.1,4.4,38.4,3.9,7.4,1.7,18.8,5.2
取引形態別,一次卸,他部門直取引卸,67,0,20.9,29.9,6,6,10.4,4.5,10.4,6,6,41.8,6,6,4.5,19.4,3
取引形態別,一次卸,元卸,127,0.8,16.5,22,16.5,14.2,9.4,2.4,3.9,7.1,8.7,48,6.3,2.4,6.3,19.7,3.9
取引形態別,二次卸,中間卸,93,1.1,28,18.3,15.1,12.9,9.7,5.4,7.5,4.3,8.6,33.3,7.5,2.2,0,19.4,2.2
取引形態別,二次卸,最終卸,131,5.3,22.9,22.9,13.7,10.7,14.5,3.8,8.4,9.2,9.9,34.4,9.9,4.6,1.5,18.3,1.5
取引形態別,その他,製造問屋,20,5,35,15,10,10,15,10,5,5,5,25,5,10,0,25,5
取引形態別,その他,その他卸,65,3.1,23.1,13.8,9.2,6.2,13.8,6.2,4.6,3.1,4.6,29.2,3.1,10.8,1.5,26.2,6.2
年間売上高増減別（3年前）,,大幅増加（10％以上）,120,4.2,15,26.7,9.2,10.8,11.7,3.3,7.5,6.7,6.7,32.5,1.7,1.7,5,25.8,5
年間売上高増減別（3年前）,,やや増加（10％未満）,108,4.6,18.5,21.3,23.1,18.5,15.7,4.6,8.3,5.6,6.5,36.1,5.6,2.8,1.9,15.7,4.6
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,154,1.3,20.8,26,10.4,7.1,9.7,5.8,4.5,7.8,5.8,40.9,5.2,1.9,2.6,22.7,3.9
年間売上高増減別（3年前）,,やや減少（10％未満）,124,1.6,25.8,18.5,8.9,15.3,11.3,4.8,5.6,7.3,8.9,36.3,8.1,6.5,0.8,16.1,4
年間売上高増減別（3年前）,,大幅減少（10％以上）,233,1.3,25.3,18,11.2,10.7,11.2,4.3,4.7,6,6.9,39.5,7.7,10.3,2.1,17.6,3.9
売上高経常利益率別,,黒字（プラス）,462,3.2,20.1,25.1,13.4,12.8,10.8,4.8,6.7,6.7,6.7,38.3,5.4,4.8,2.6,18.2,4.8
売上高経常利益率別,,赤字（マイナス）,271,0.7,24.7,16.6,9.6,10.3,12.2,4.4,4.4,6.3,7,36.9,7,7,1.8,22.1,3.3
経常損益の変化別（3年前）,,増益,197,2,19.8,21.3,11.7,12.2,14.7,5.1,5.1,5.6,4.6,31,4.6,5.6,3.6,21.8,5.6
経常損益の変化別（3年前）,,横ばい,240,3.8,22.1,20.8,10.4,10.8,10,3.8,5.8,5,8.3,35.8,5.4,4.2,2.1,20.8,4.2
経常損益の変化別（3年前）,,減益,305,1.3,23,23,14.1,12.5,10.2,4.9,6.2,8.5,7.2,43.3,7.2,6.6,2,17.4,3.6
