学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和4年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,1,x,x,x
学歴計,18～19歳,17,0.5,216600,2863533,14,0.6,195273,-
学歴計,20～21歳,31,1.2,216601,2793000,29,1.4,203169,2673633
学歴計,22～24歳,71,2.1,245127,3342502,82,1.8,219911,2951535
学歴計,25～29歳,330,3.4,273354,4181324,214,3.4,251205,3493711
学歴計,30～34歳,389,6.3,305480,4678494,221,4.9,284458,3944479
学歴計,35～39歳,410,8.3,329661,5120770,233,6.9,288283,4211144
学歴計,40～44歳,542,10.9,367107,5537472,293,8.5,295684,4389302
学歴計,45～49歳,607,13.8,421276,6192749,311,10.9,320044,4639403
学歴計,50～54歳,637,16,425672,6269986,288,12.8,332310,4923086
学歴計,55～59歳,490,17.6,431820,6262331,221,14.3,355806,5203272
学歴計,60歳以上,416,15,358281,5019731,143,15.5,291480,4126807
中学卒,～17歳,-,-,-,-,1,x,x,x
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,2,x,x,x,-,-,-,-
中学卒,25～29歳,4,x,x,x,1,x,x,x
中学卒,30～34歳,4,x,x,x,3,x,x,x
中学卒,35～39歳,6,8.2,364390,5579833,1,x,x,x
中学卒,40～44歳,13,14.5,376643,5581492,-,-,-,-
中学卒,45～49歳,22,14.7,382385,6593217,1,x,x,x
中学卒,50～54歳,25,14.3,396335,5485792,6,16.2,241812,3181539
中学卒,55～59歳,21,14.6,350715,5564538,-,-,-,-
中学卒,60歳以上,22,26.7,312866,4578495,2,x,x,x
高校卒,18～19歳,17,0.5,216600,2863533,13,0.6,195273,-
高校卒,20～21歳,27,1.4,218116,2793000,16,1.7,205408,2690338
高校卒,22～24歳,22,3.3,238898,3291881,25,3.3,229920,3218138
高校卒,25～29歳,81,4.8,264948,4169872,23,4.5,206275,2811880
高校卒,30～34歳,95,7.7,293500,4459443,30,7.2,260502,3837726
高校卒,35～39歳,101,8.7,315442,4789231,42,7.6,240211,3556438
高校卒,40～44歳,168,10.6,341085,5071512,64,8.7,263372,3880438
高校卒,45～49歳,162,16.4,392067,6034035,80,11.9,281565,4070112
高校卒,50～54歳,240,16.2,386604,5686120,86,14.1,297901,4509834
高校卒,55～59歳,182,17.9,377436,5423879,89,15.4,308116,4467880
高校卒,60歳以上,137,16,361613,5069798,62,15.4,263408,3827398
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,-,-,-,-
高専・短大卒,22～24歳,4,x,x,x,1,x,x,x
高専・短大卒,25～29歳,10,3.7,273994,3838318,9,3.8,207799,3113001
高専・短大卒,30～34歳,11,6.8,280520,4555860,13,6.1,251854,3430829
高専・短大卒,35～39歳,12,14.3,364677,5807055,18,5.7,251775,3412981
高専・短大卒,40～44歳,14,12.6,398327,6118552,42,7.4,284890,4854506
高専・短大卒,45～49歳,25,13.9,377264,5766738,45,8.9,283609,4324821
高専・短大卒,50～54歳,14,14.7,391736,5786955,48,11.2,318206,4698890
高専・短大卒,55～59歳,19,17.3,433629,6968139,32,14.1,317737,4676858
高専・短大卒,60歳以上,16,13.9,304256,3991778,19,17.4,304203,4508327
専門学校卒,20～21歳,3,x,x,x,10,0.7,200299,2540000
専門学校卒,22～24歳,17,1.5,222631,3122164,14,1.4,214414,2766738
専門学校卒,25～29歳,56,4,266599,4157829,46,2.8,261848,3692278
専門学校卒,30～34歳,55,6.9,304012,4526900,42,5.6,279812,3929002
専門学校卒,35～39歳,70,8.6,329797,4803828,54,7.2,280728,3926515
専門学校卒,40～44歳,103,12,376970,5493207,45,7.5,288493,3737941
専門学校卒,45～49歳,133,13.8,403586,5747472,58,11.3,336429,4675104
専門学校卒,50～54歳,108,16.9,417340,5916062,54,11.8,316611,4526814
専門学校卒,55～59歳,62,20.2,439413,5992369,34,13.9,336878,4713419
専門学校卒,60歳以上,30,12.9,354374,4902297,18,12.9,319274,4381051
大学卒,20～21歳,1,x,x,x,3,x,x,x
大学卒,22～24歳,24,1.4,246669,3202209,41,1.1,217888,2798383
大学卒,25～29歳,171,2.5,280191,4247191,134,3.3,256635,3542220
大学卒,30～34歳,215,5.4,313898,4828049,132,4.2,295240,4059015
大学卒,35～39歳,204,7.9,334826,5396576,113,6.8,316062,4802318
大学卒,40～44歳,225,10.1,384504,5937251,141,9.1,315192,4730780
大学卒,45～49歳,248,12,465265,6645535,117,11,356156,5230282
大学卒,50～54歳,231,16,484974,7326781,90,12.8,386233,5898422
大学卒,55～59歳,180,16.4,501062,7279857,56,12.6,485202,7088198
大学卒,60歳以上,148,14.7,404842,5853216,30,14.8,337154,4637442
