区分,退職一時金制度導入企業数（社）,自己都合退職／１年未満（社）,自己都合退職／１年（社）,自己都合退職／２年（社）,自己都合退職／３年（社）,自己都合退職／４年（社）,自己都合退職／５年以上（社）,自己都合退職／無回答（社）
調査産業計,689,17,124,77,355,11,61,44
労組有,59,1,11,13,26,1,4,3
労組無,630,16,113,64,329,10,57,41
建設業,74,1,20,9,31,3,8,2
製造業,231,2,35,28,139,1,16,10
情報通信業,28,1,8,1,15,1,2,-
運輸業，郵便業,32,-,6,5,16,-,3,2
卸売業，小売業,123,6,14,15,63,2,15,8
金融業，保険業,28,3,7,4,12,1,1,-
不動産業，物品賃貸業,18,-,6,2,4,-,4,2
学術研究，専門・技術サービス業,37,1,4,4,23,1,2,2
宿泊業，飲食サービス業,16,-,1,3,8,-,1,3
生活関連サービス業，娯楽業,20,-,6,1,8,-,2,3
教育，学習支援業(学校教育を除く）,17,2,4,1,6,-,2,2
医療，福祉,18,-,4,2,8,2,1,1
サービス業（他に分類されないもの）,47,1,9,2,22,-,4,9
10～49人,402,9,68,45,203,9,38,30
50～99人,175,5,38,19,84,1,17,11
100～299人,112,3,18,13,68,1,6,3
,,,,,,,,
区分,退職一時金制度導入企業数（社）,会社都合退職／１年未満（社）,会社都合退職／１年（社）,会社都合退職／２年（社）,会社都合退職／３年（社）,会社都合退職／４年（社）,会社都合退職／５年以上（社）,会社都合退職／無回答（社）
調査産業計,689,64,170,63,223,9,41,119
労組有,59,9,15,8,15,1,3,8
労組無,630,55,155,55,208,8,38,111
建設業,74,5,22,8,21,2,7,9
製造業,231,18,55,22,87,1,12,36
情報通信業,28,4,9,1,12,1,1,0
運輸業，郵便業,32,6,7,2,8,0,3,6
卸売業，小売業,123,16,22,15,40,1,7,22
金融業，保険業,28,5,9,4,5,1,1,3
不動産業，物品賃貸業,18,0,7,1,2,0,2,6
学術研究，専門・技術サービス業,37,2,5,4,15,1,1,9
宿泊業，飲食サービス業,16,1,3,2,5,0,1,4
生活関連サービス業，娯楽業,20,1,6,1,7,0,2,3
教育，学習支援業(学校教育を除く）,17,3,7,0,3,0,1,3
医療，福祉,18,0,7,0,3,2,0,6
サービス業（他に分類されないもの）,47,3,11,3,15,0,3,12
10～49人,402,31,101,34,129,8,28,71
50～99人,175,17,43,19,55,1,10,30
100～299人,112,16,26,10,39,0,3,18
