表側１,表側２,表側３,回答企業数(件),当該商品の直近の販売価格(%),自企業の他商品とのバランス(%),競合店の価格(%),マーケット（市場価格）動向(%),経験や勘(%),仕入先の意向(%),商品の品質・希少性(%),当該商品の賞味・消費期間(%),シーズンのイン・アウトの時期(%),販売数量と価格のバランス(%),陳列場所・陳列方法(%),在庫状況(%),販売計画（目標売上・利幅等）(%),すでに価格が決定されており決定権がない(%),その他(%),特になし(%),無回答(%)
,,今回調査（全体）,2141,24.7,12.4,18.6,21.3,21.3,13.2,31.6,8.4,8.8,11.6,7.4,17.9,4.6,14.9,2.5,8.5,3.5
業種別,,総合商品小売業,189,10.1,4.8,10.1,13.2,6.9,7.4,6.9,13.2,14.8,8.5,11.1,10.6,7.4,47.6,9.0,9.0,1.1
業種別,,生鮮食品小売業,134,32.1,11.9,17.2,24.6,30.6,18.7,49.3,19.4,7.5,18.7,12.7,22.4,3.7,0.7,2.2,9.0,3.0
業種別,,食料品関連小売業,535,30.3,19.8,18.9,19.4,21.1,9.3,30.7,12.9,5.8,12.5,6.5,11.4,3.7,5.0,2.1,10.5,3.9
業種別,,衣料品関連小売業,298,28.2,13.4,19.8,21.5,26.2,14.4,43.3,1.7,15.1,11.4,9.1,21.1,3.4,11.1,0.7,4.7,4.0
業種別,,住関連小売業,167,29.3,6.6,21.0,25.7,20.4,15.0,32.9,2.4,11.4,8.4,6.0,19.2,9.6,3.6,1.8,10.2,3.6
業種別,,その他小売業,773,21.0,10.5,19.8,23.0,22.0,14.9,30.1,5.8,6.9,11.4,6.0,21.9,4.4,20.3,2.2,7.9,3.6
従業者規模別,,１～２人,1066,25.1,10.9,16.6,19.2,21.9,12.3,31.6,7.5,7.2,9.2,6.3,17.5,2.9,11.4,2.0,9.8,3.8
従業者規模別,,３～５人,486,27.2,15.2,19.5,23.7,23.0,15.0,36.4,8.4,8.0,14.8,9.5,17.5,4.5,11.3,1.9,7.2,5.8
従業者規模別,,６～19人,336,24.7,17.0,20.8,26.2,21.4,13.4,29.2,10.7,12.5,15.2,7.1,22.0,7.4,19.6,3.9,5.7,1.5
従業者規模別,,20人以上,170,15.3,5.9,21.8,21.8,8.2,12.4,21.2,7.6,12.4,12.4,8.2,14.7,11.2,37.1,5.9,8.2,1.2
年間売上高増減別（3年前）,,増加（５％以上）,227,25.1,18.5,19.4,26.9,19.8,10.6,42.3,10.1,11.5,14.5,11.0,15.4,5.7,18.1,4.8,6.2,1.8
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,26.3,12.2,17.7,25.3,18.5,13.9,32.0,7.7,10.8,10.6,7.5,16.5,5.9,16.1,2.2,10.6,2.4
年間売上高増減別（3年前）,,やや減少（10％未満）,450,28.0,12.4,19.6,22.9,23.1,11.3,32.0,9.1,6.7,12.0,7.1,20.4,3.3,11.6,3.3,7.8,2.9
年間売上高増減別（3年前）,,減少（20％未満）,434,22.6,9.0,18.7,20.3,19.6,13.1,28.3,9.2,9.4,11.3,7.1,17.7,5.1,16.6,1.6,6.9,5.1
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,21.6,13.0,19.1,14.8,24.9,14.6,29.7,6.7,7.2,11.2,5.4,19.3,3.1,13.5,2.2,9.4,4.7
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
