,,労務管理            ,人事評価            ,業務の進捗管理      ,セキュリティ体制    ,勤務時間や勤務体系  ,従業員の健康管理    ,その他              ,特になし            ,無回答,n
, 今回調査（全体）,23.3,7.8,21.3,29.1,22.7,9.9,0.9,43.5,4.9,1284
業種別,情報・コンテンツ業,25.4,9.1,23.6,30.4,24.2,13.7,1,41.1,4.4,504
業種別,専門サービス業,19.3,6.1,18.4,28.6,20.9,7,1.1,48,5.2,440
業種別,技術サービス業,27.3,7.9,21.8,26.1,22.4,8.5,0.6,43.6,3,165
業種別,事業サービス業,23.8,7.9,23.2,29.8,23.8,7.9,0,39.1,6,151
特定10業種別,ソフトウェア業,27.3,9,26.6,39.8,25,17.6,1.2,37.5,3.1,256
特定10業種別,インターネット附随サービス業,24.4,8.9,20,35.6,33.3,13.3,0,37.8,4.4,45
特定10業種別,映像情報制作・配給業,15.6,4.4,15.6,8.9,17.8,8.9,0,55.6,6.7,45
特定10業種別,出版業,18.8,3.1,18.8,12.5,28.1,6.3,0,50,6.3,32
特定10業種別,税理士事務所,16.7,2.6,20.5,28.2,28.2,6.4,0,42.3,2.6,78
特定10業種別,デザイン業,28.3,6.7,21.7,31.7,21.7,13.3,3.3,43.3,3.3,60
特定10業種別,経営コンサルタント業,15.5,4.7,15.5,24.8,17.8,6.2,0.8,53.5,7,129
特定10業種別,建築設計業,26.5,7.8,21.6,18.6,27.5,6.9,1,45.1,2.9,102
特定10業種別,自動車整備業,50,0,0,0,50,0,0,50,0,2
特定10業種別,建物サービス業,7.1,0,35.7,28.6,42.9,7.1,0,28.6,7.1,14
従業者規模別,2人,9.3,4.4,14.6,19.5,11.9,4,0.9,58.8,7.5,226
従業者規模別,3～5人,19.3,5.1,21.2,27.7,27,11.3,0.7,44.2,4.4,274
従業者規模別,6～9人,35.3,14,30.1,32.4,29.4,14.7,0,27.2,2.9,136
従業者規模別,10～29人,38.1,16.2,35.7,46.2,32.9,16.7,1.9,22.9,1.9,210
従業者規模別,30人以上,50.3,11.2,32.2,46.9,42,17.5,0,14.7,4.2,143
年間売上高増減別(３年前),大幅(10％以上)増加,30.1,7.4,26.4,44.2,25.2,12.3,1.2,31.9,3.1,163
年間売上高増減別(３年前),やや(10％未満)増加,25.8,8.6,26.5,37.1,27.2,9.9,0.7,36.4,3.3,151
年間売上高増減別(３年前),ほぼ(±５％未満)横ばい,21.2,8,20.9,27.9,24.2,8.6,0.6,43.6,5.5,326
年間売上高増減別(３年前),やや(10％未満)減少,25.2,8.4,23.1,25.9,23.1,15.4,0,48.3,4.9,143
年間売上高増減別(３年前),大幅(10％以上)減少,22.9,7.9,19.4,24.1,21.3,8.6,1.4,44.9,5.4,428
売上高経常利益率別,黒字,26,8.7,23,33.1,24.4,9.9,0.7,38.8,4.7,809
売上高経常利益率別,赤字,20.4,7.3,17.9,21.8,21.3,9.2,1.4,52.7,3.9,357
経常損益の変化別(３年前),増益,29.1,8.4,29.8,35.8,27.4,12,0.3,35.5,4,299
経常損益の変化別(３年前),横ばい,22,7.9,16,26.2,21.5,8.1,0.8,47.8,5.5,381
経常損益の変化別(３年前),減益,22.5,8,22.3,29.1,23.1,10.9,1.4,41.6,4.7,515
代表者の年齢別,40歳未満,20,1.8,21.8,27.3,29.1,10.9,1.8,40,5.5,55
代表者の年齢別,40歳代,28.4,12.1,22,28,22.8,9.1,0,45.7,2.2,232
代表者の年齢別,50歳代,25.6,8.3,22.9,34.4,20.8,10.4,0.8,42.1,4.3,375
代表者の年齢別,60歳代,21.5,6.7,21.2,28.6,22.7,9.1,1,41,5.7,405
代表者の年齢別,70歳以上,15.7,4.4,15.7,20.6,23.5,11.3,1,50.5,7.8,204
