区分,集計企業数（社）,記入あり（社）,１０％未満（社）,１０％以上２０％未満（社）,２０％以上３０％未満（社）,３０％以上４０％未満（社）,４０％以上５０％未満（社）,５０％以上（社）,査定等を行っていないため格差なし（社）,無回答（社）
調査産業計,1012,818,243,195,106,44,26,55,149,194
労組有,75,62,18,12,8,1,5,2,16,13
労組無,937,756,225,183,98,43,21,53,133,181
建設業,85,77,24,25,14,5,1,2,6,8
製造業,274,236,66,67,33,15,8,14,33,38
情報通信業,50,43,17,9,7,4,1,2,3,7
運輸業，郵便業,55,40,7,9,6,-,-,-,18,15
卸売業，小売業,195,149,37,34,22,7,7,12,30,46
金融業，保険業,43,36,6,8,4,3,4,7,4,7
不動産業，物品賃貸業,30,21,9,4,2,2,-,1,3,9
学術研究，専門・技術サービス業,58,45,14,9,5,2,2,11,2,13
宿泊業，飲食サービス業,49,32,9,2,1,2,-,1,17,17
生活関連サービス業，娯楽業,33,27,9,5,3,2,1,-,7,6
教育，学習支援業(学校教育を除く）,32,27,10,6,1,-,1,1,8,5
医療，福祉,43,29,11,5,3,1,-,2,7,14
サービス業（他に分類されないもの）,65,56,24,12,5,1,1,2,11,9
10～49人,642,511,153,111,64,20,15,37,111,131
50～99人,225,190,56,55,22,12,5,13,27,35
100～299人,145,117,34,29,20,12,6,5,11,28
