,,4件以下            ,5～9件            ,10～19件            ,20～49件            ,50～99件            ,100～199件,200～499件,500件以上,無回答            ,ｎ
,今回調査（全体）,27.4,18.7,17.1,14.4,10.1,5.1,3,3,1.3,2348
,前回調査,18.9,17.8,16.6,17.1,11.4,7.1,5.1,4.4,1.7,2263
業種別,情報・コンテンツ業,33.9,25.3,13.1,11.9,5.6,3.1,2.2,3.4,1.4,640
業種別,専門サービス業,21.3,16.7,19.8,15.7,15.6,5.6,2.9,1.1,1.2,820
業種別,技術サービス業,38.2,22.4,18.5,10,5,2.9,1.5,0.9,0.6,340
業種別,事業サービス業,21.7,11.2,16.6,18.7,10.1,7.9,5.1,6.9,1.8,507
特定10業種別,ソフトウェア業,42,25.2,13.3,9.4,2.1,3.1,1,2.4,1.4,286
特定10業種別,インターネット附随サービス業,29,24.2,12.9,14.5,9.7,0,1.6,8.1,0,62
特定10業種別,映像情報制作・配給業,30.9,29.4,13.2,14.7,7.4,1.5,2.9,0,0,68
特定10業種別,出版業,9.1,25.5,12.7,9.1,9.1,3.6,10.9,16.4,3.6,55
特定10業種別,税理士事務所,4.6,4.1,16.1,23.9,32.6,10.6,4.1,1.8,2.3,218
特定10業種別,デザイン業,35.6,26,24,6.7,4.8,2.9,0,0,0,104
特定10業種別,経営コンサルタント業,41.9,20.1,20.7,8.4,6.1,2.2,0,0,0.6,179
特定10業種別,建築設計業,44.4,26.7,16.7,7.2,3.3,0.6,0,0.6,0.6,180
特定10業種別,自動車整備業,9.3,5.6,13,18.5,16.7,9.3,11.1,13,3.7,54
特定10業種別,建物サービス業,23.4,12.6,16.2,19.8,8.1,9,4.5,3.6,2.7,111
従業者規模別,1～2人,42.3,21,16.7,11.7,4.8,1.6,0.6,0.2,0.9,971
従業者規模別,3～5人,23.9,20.1,16.1,15.2,13.8,4.7,2.6,2.4,1.2,573
従業者規模別,6～9人,17.6,15.6,18.4,14.4,15.6,9.2,5.2,2.8,1.2,250
従業者規模別,10～29人,11.4,17.1,19.9,17.4,11.1,7.6,6.6,7,1.9,316
従業者規模別,30人以上,4.8,9,14.8,21,16.7,12.4,6.7,12.4,2.4,210
年間売上高増減別（３年前）,大幅(10％以上)増加,20.9,17.9,17.1,14.5,11.5,6.8,3.8,6,1.3,234
年間売上高増減別（３年前）,やや(10％未満)増加,13.4,21.4,17.6,16.4,12.6,9.2,4.6,3.4,1.3,238
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,31,15.9,15.1,15.9,9.8,5,3,2.7,1.7,662
年間売上高増減別（３年前）,やや(10％未満)減少,23.7,16.2,17.9,15.6,15.6,5.5,2.3,2.3,1,308
年間売上高増減別（３年前）,大幅(10％以上)減少,31.6,20.4,18.1,12.5,7.5,3.5,2.5,3,0.9,795
売上高経常利益率別,黒字,22.9,16.7,17.7,15.4,11.6,6.7,3.7,4,1.4,1409
売上高経常利益率別,赤字,36.5,22.9,16.2,12.3,5.6,2,2.2,1.6,0.7,693
経常利益の変化別（３年前）,増益,24.5,19.8,15.4,15.1,9.8,5.1,3.6,5.5,1.1,469
経常利益の変化別（３年前）,横ばい,27.6,16.7,14.9,16.2,11.8,5,3.7,2.4,1.8,765
経常利益の変化別（３年前）,減益,27.9,18.9,19.8,13.3,9.1,5.3,2.3,2.7,0.7,973
