表側１,表側２,表側３,回答企業数(件),40歳未満(％),40歳代(％),50歳代(％),60歳代(％),70歳以上(％),無回答(％)
,,今回調査（全体）,2003,9.9,12.2,20.1,24.7,24.4,8.7
,,前回調査,2189,9.4,13.5,20.4,25.9,24.4,6.3
業種別,,総合商品小売業,164,61.6,24.4,6.7,3.7,0.6,3
業種別,,生鮮食品小売業,113,0,9.7,16.8,23,33.6,16.8
業種別,,食料品関連小売業,511,6.1,8.4,18.8,31.1,29.2,6.5
業種別,,衣料品関連小売業,314,4.5,4.1,18.2,28.7,34.1,10.5
業種別,,住関連小売業,162,4.3,10.5,24.1,28.4,22.2,10.5
業種別,,その他小売業,737,6.1,16.4,24.3,22.7,21.4,9.1
従業者規模別,,1～2人,1059,1.8,6.1,13.2,28.3,40.3,10.2
従業者規模別,,3～5人,488,6.1,10.7,33.4,33.8,10.2,5.7
従業者規模別,,6～19人,272,29.8,28.7,30.1,9.6,0,1.8
従業者規模別,,20人以上,134,49.3,35.1,11.2,0,0,4.5
