表側１,表側２,表側３,回答企業数(件),全て自企業(％),一部外部委託(％),全て外部委託(％),該当する業務なし(％),無回答(％)
,,"今回調査
（全体）",767,14.7,28.3,48.1,7.3,1.6
,,前回調査,760,19.9,34.6,37.0,6.1,2.5
業種別,,食料品卸売業,213,22.5,29.1,39.4,7.0,1.9
業種別,,生鮮食品卸売業,91,30.8,30.8,27.5,6.6,4.4
業種別,,加工食品等卸売業,122,16.4,27.9,48.4,7.4,0.0
業種別,,衣料品関連卸売業,111,9.9,16.2,65.8,5.4,2.7
業種別,,住関連卸売業,155,11.0,29.0,52.3,5.8,1.9
業種別,,その他卸売業,270,12.6,30.4,47.0,9.3,0.7
従業者規模別,,１～５人,406,19.2,26.1,42.9,9.6,2.2
従業者規模別,,６～９人,119,13.4,32.8,47.9,4.2,1.7
従業者規模別,,10～49人,192,6.3,31.3,56.3,5.7,0.5
従業者規模別,,50人以上,28,0.0,21.4,78.6,0.0,0.0
取引形態別,一次卸,小売直取引卸,229,17.0,24.0,53.3,3.1,2.6
取引形態別,一次卸,他部門直取引卸,67,6.0,28.4,55.2,10.4,0.0
取引形態別,一次卸,元卸,127,5.5,21.3,68.5,4.7,0.0
取引形態別,二次卸,中間卸,93,15.1,36.6,33.3,11.8,3.2
取引形態別,二次卸,最終卸,131,26.7,35.9,29.8,7.6,0.0
取引形態別,その他,製造問屋,20,15.0,40.0,45.0,0.0,0.0
取引形態別,その他,その他卸,65,9.2,21.5,47.7,18.5,3.1
