表側１,表側２,表側３,回答企業数(件),子・子の配偶者に継がせたい(％),配偶者に継がせたい(％),子・配偶者以外の親族に継がせたい(％),従業員に継がせたい(％),外部の人間に継がせたい(％),誰でもよいから継がせたい(％),親会社が決定する(％),他社に売却したい(％),まだ決める時期にない(％),決める必要があるがまだ決められていない(％),その他(％),無回答(％)
,,今回調査（全体）,671,25.9,0.6,1.2,10.6,1.8,3.4,5.1,0.9,27.4,13.4,3.6,6.1
業種別,,食料品卸売業,211,30.3,0.9,1.9,9.5,0.9,2.8,7.1,0.9,23.7,13.7,2.8,5.2
業種別,,生鮮食品卸売業,117,32.5,1.7,3.4,9.4,0.9,3.4,4.3,0.9,22.2,11.1,4.3,6
業種別,,加工食品等卸売業,94,27.7,0,0,9.6,1.1,2.1,10.6,1.1,25.5,17,1.1,4.3
業種別,,衣料品関連卸売業,125,20.8,0,0,12.8,0.8,2.4,1.6,0.8,34.4,14.4,5.6,6.4
業種別,,住関連卸売業,76,31.6,1.3,1.3,5.3,1.3,2.6,3.9,0,28.9,13.2,1.3,9.2
業種別,,その他卸売業,253,23.7,0.4,1.2,11.9,3.2,4.7,5.5,1.2,26.1,12.6,4,5.5
取引形態別,一次卸,小売直取引卸,196,24.5,0,1.5,10.7,2,3.1,3.1,0.5,32.7,13.3,4.6,4.1
取引形態別,一次卸,他部門直取引卸,45,20,0,4.4,15.6,0,4.4,8.9,0,26.7,8.9,11.1,0
取引形態別,一次卸,元卸,141,24.8,0.7,0,14.2,2.1,3.5,6.4,1.4,21.3,17,2.1,6.4
取引形態別,二次卸,中間卸,74,24.3,0,2.7,8.1,0,8.1,0,0,31.1,10.8,2.7,12.2
取引形態別,二次卸,最終卸,116,31,2.6,0.9,9.5,2.6,1.7,5.2,1.7,24.1,15.5,0.9,4.3
取引形態別,その他,製造問屋,17,35.3,0,0,5.9,5.9,11.8,5.9,5.9,11.8,17.6,0,0
取引形態別,その他,その他卸,65,24.6,0,0,4.6,1.5,0,12.3,0,30.8,10.8,6.2,9.2
経常損益の変化別(前年同期比),,増益,63,20.6,1.6,1.6,9.5,7.9,1.6,7.9,0,30.2,12.7,3.2,3.2
経常損益の変化別(前年同期比),,横ばい,117,23.1,0,1.7,9.4,0,3.4,4.3,0.9,28.2,15.4,5.1,8.5
経常損益の変化別(前年同期比),,減益,466,27,0.6,1.1,10.5,1.5,3.6,4.9,1.1,27.3,13.1,3.4,5.8
経常損益の変化別(３年前),,増益,116,19,2.6,1.7,10.3,0,3.4,9.5,2.6,26.7,13.8,1.7,8.6
経常損益の変化別(３年前),,横ばい,209,29.7,0.5,1.4,11.5,1.4,2.9,2.9,1,24.4,15.8,0.5,8.1
経常損益の変化別(３年前),,減益,301,25.9,0,1,10,2,4.3,5.3,0.3,30.2,12.6,5.6,2.7
代表者の年齢別,,40歳未満,17,29.4,0,0,0,0,0,11.8,0,41.2,0,0,17.6
代表者の年齢別,,40歳代,96,20.8,0,1,6.3,1,2.1,2.1,0,56.3,3.1,1,6.3
代表者の年齢別,,50歳代,206,21.8,0,1,7.3,2.4,3.4,4.4,1.5,34,13.1,4.9,6.3
代表者の年齢別,,60歳代,167,23.4,0.6,1.2,16.8,1.8,4.2,9.6,0,20.4,15.6,4.2,2.4
代表者の年齢別,,70歳以上,180,35.6,1.7,1.7,11.1,1.7,3.9,2.8,1.7,10.6,18.9,3.3,7.2
