表側１,表側２,表側３,回答企業数(件),売れ筋商品の調達(%),商品情報の収集(%),オリジナル性の高い商品の調達(%),マーケットや業界情報の収集(%),価格交渉力(%),オンライン発注への対応(%),商品・在庫管理(%),その他(%),特になし(%),無回答(%)
,,今回調査（全体）,2141,42.8,22.5,22.2,8.7,18.2,3.8,32.3,2.8,18.9,3.6
,,前回調査,2003,46.3,23.3,24.3,10.0,19.9,4.1,32.7,1.5,19.1,4.8
業種別,,総合商品小売業,189,47.6,30.7,28,13.2,6.9,6.3,30.2,3.2,24.3,3.7
業種別,,生鮮食品小売業,134,49.3,17.9,15.7,6.7,29.1,0.7,26.9,5.2,16.4,6
業種別,,食料品関連小売業,535,37.2,22.4,20.9,6.9,17.2,3.2,31,1.9,23,3.7
業種別,,衣料品関連小売業,298,60.1,23.8,40.9,9.1,13.4,1,25.5,1,11.1,1.7
業種別,,住関連小売業,167,37.7,26.3,14.4,10.2,28.1,4.2,26.3,1.8,22.2,4.8
業種別,,その他小売業,773,38.8,20.1,17.5,9.1,20.2,5.3,38.9,3.6,17.3,3.4
従業者規模別,,１～２人,1066,42.6,20.2,19.9,6.3,14.3,2.1,28.8,2.4,21.9,3.6
従業者規模別,,３～５人,486,45.5,25.5,24.9,11.5,21.8,4.9,35.2,2.5,14.6,3.7
従業者規模別,,６～19人,336,40.8,22.6,26.8,10.1,25.3,7.7,37.8,3.6,14.9,3
従業者規模別,,20人以上,170,44.1,31.2,24.7,14.1,20,4.7,35.9,4.7,21.8,1.2
年間売上高増減別（3年前）,,増加（５％以上）,227,45.8,26.4,30,12.8,21.6,6.2,37,3.5,11.5,1.8
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,42.4,25.9,22,10.8,20.8,4.5,35.2,2.4,18.1,2.8
年間売上高増減別（3年前）,,やや減少（10％未満）,450,40.9,23.3,23.8,9.1,17.8,3.3,32.9,2.2,21.1,2
年間売上高増減別（3年前）,,減少（20％未満）,434,45.2,21.9,18.7,6.9,18.7,3.9,31.8,2.1,18,3.7
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,43.4,17.3,20.9,5.6,14.6,2,28.1,4,22.5,2.9
売上高経常利益率別,,黒字（プラス）,1093,41.8,25.1,23.2,10.6,21,4.8,32.9,2.7,18.1,2.2
売上高経常利益率別,,赤字（マイナス）,838,46.4,21.8,22.8,7.5,16.9,3.5,32.3,3,19.8,2.3
経常損益の変化別（3年前）,,増益,316,47.5,26.3,26.3,11.4,20.6,4.7,33.5,3.8,17.7,2.8
経常損益の変化別（3年前）,,横ばい,702,40.5,22.8,22.8,8.4,16.4,4.8,33.2,1.3,19.7,2.4
経常損益の変化別（3年前）,,減益,999,44.5,22,21.5,8.4,19.4,3.2,31.5,3.4,18.8,2.3
