表側１,表側２,表側３,回答企業数(件),事業者(％),一般消費者(％),両方（事業者及び一般消費者）(％),無回答(％)
,,"今回調査
（全体）",190,12.6,55.8,27.4,4.2
,,前回調査,147,17.0,61.9,17.0,4.1
業種別,,食料品卸売業,46,8.7,67.4,21.7,2.2
業種別,,生鮮食品卸売業,11,18.2,54.5,27.3,0.0
業種別,,加工食品等卸売業,35,5.7,71.4,20.0,2.9
業種別,,衣料品関連卸売業,40,5.0,55.0,30.0,10.0
業種別,,住関連卸売業,29,20.7,31.0,48.3,0.0
業種別,,その他卸売業,67,17.9,58.2,19.4,4.5
従業者規模別,,１～５人,67,10.4,70.1,14.9,4.5
従業者規模別,,６～９人,37,5.4,51.4,37.8,5.4
従業者規模別,,10～49人,67,19.4,46.3,31.3,3.0
従業者規模別,,50人以上,17,11.8,41.2,41.2,5.9
取引形態別,一次卸,小売直取引卸,71,11.3,67.6,16.9,4.2
取引形態別,一次卸,他部門直取引卸,12,16.7,16.7,58.3,8.3
取引形態別,一次卸,元卸,47,8.5,61.7,23.4,6.4
取引形態別,二次卸,中間卸,14,35.7,50.0,14.3,0.0
取引形態別,二次卸,最終卸,24,8.3,33.3,58.3,0.0
取引形態別,その他,製造問屋,4,25.0,75.0,0.0,0.0
取引形態別,その他,その他卸,9,22.2,44.4,22.2,11.1
