表側１,表側２,表側３,回答企業数(件),販売している(％),今後販売する予定(％),販売していたが中止した(％),販売予定なし(％),無回答(％)
,,今回調査（全体）,760,19.3,13.4,4.3,59.5,3.4
,,前回調査,823,18.1,8.3,3.5,66.1,4
業種別,,食料品卸売業,237,15.6,14.3,5.1,62,3
業種別,,生鮮食品卸売業,126,11.9,15.9,4,65.1,3.2
業種別,,加工食品等卸売業,111,19.8,12.6,6.3,58.6,2.7
業種別,,衣料品関連卸売業,145,26.2,12.4,4.8,51,5.5
業種別,,住関連卸売業,83,16.9,9.6,8.4,60.2,4.8
業種別,,その他卸売業,288,19.8,13.9,2.4,61.5,2.4
従業者規模別,,1～5人,399,11.3,11,5,69.4,3.3
従業者規模別,,6～9人,101,29.7,10.9,5,49.5,5
従業者規模別,,10～49人,208,24.5,18.8,2.9,50.5,3.4
従業者規模別,,50人以上,36,44.4,13.9,5.6,36.1,0
取引形態別,一次卸,小売直取引卸,219,26,13.7,5.5,51.6,3.2
取引形態別,一次卸,他部門直取引卸,50,14,10,4,68,4
取引形態別,一次卸,元卸,154,27.3,9.7,3.9,55.8,3.2
取引形態別,二次卸,中間卸,85,9.4,11.8,3.5,69.4,5.9
取引形態別,二次卸,最終卸,135,13.3,20,3.7,60.7,2.2
取引形態別,その他,製造問屋,19,15.8,21.1,10.5,42.1,10.5
取引形態別,その他,その他卸,77,11.7,11.7,3.9,70.1,2.6
売上高増減別(前年同期比),,増加,56,28.6,8.9,5.4,55.4,1.8
売上高増減別(前年同期比),,横ばい,108,19.4,10.2,2.8,64.8,2.8
売上高増減別(前年同期比),,減少,585,18.5,14.5,4.6,58.6,3.8
売上高増減別(３年前),,増加,136,27.2,17.6,4.4,49.3,1.5
売上高増減別(３年前),,横ばい,130,20,12.3,2.3,61.5,3.8
売上高増減別(３年前),,減少,443,16.3,13.1,5.2,61.2,4.3
代表者の年齢別,,40歳未満,17,35.3,11.8,0,52.9,0
代表者の年齢別,,40歳代,103,28.2,10.7,3.9,57.3,0
代表者の年齢別,,50歳代,215,24.2,14.4,7,51.2,3.3
代表者の年齢別,,60歳代,192,16.7,17.2,3.1,60.9,2.1
代表者の年齢別,,70歳以上,225,11.6,10.7,3.1,68,6.7
一般消費者への販売状況別,,販売している,266,42.9,10.5,4.5,39.5,2.6
一般消費者への販売状況別,,今後販売する予定,49,12.2,67.3,4.1,12.2,4.1
一般消費者への販売状況別,,販売していたが中止した,21,14.3,4.8,38.1,42.9,0
一般消費者への販売状況別,,販売予定なし,391,5.1,8.7,2.6,80.3,3.3
