学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和3年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,33,0.5,187986,2201900,-,-,-,-
学歴計,20～21歳,67,1.7,207187,3475928,8,0.8,232253,-
学歴計,22～24歳,392,1.8,225378,3659577,283,0.9,231708,3400450
学歴計,25～29歳,706,4.1,264468,4547984,513,3.6,261366,4218469
学歴計,30～34歳,610,6.7,316949,5378082,383,5.4,281342,4586645
学歴計,35～39歳,659,10,400850,6361349,223,8.8,333439,5084615
学歴計,40～44歳,684,13,420820,6835334,311,11.1,356137,5595999
学歴計,45～49歳,954,15.3,440783,6956680,332,13.2,365256,5761617
学歴計,50～54歳,912,18.1,460369,7159489,287,17.9,373255,6060509
学歴計,55～59歳,793,19.1,470265,7258438,189,21.1,383560,6520646
学歴計,60歳以上,483,14.1,360500,4902721,29,18.4,275932,4260490
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,5,2.2,382646,5024200,3,x,x,x
中学卒,30～34歳,2,x,x,x,-,-,-,-
中学卒,35～39歳,8,9.6,290628,5012838,-,-,-,-
中学卒,40～44歳,-,-,-,-,-,-,-,-
中学卒,45～49歳,18,12.2,350446,4888033,-,-,-,-
中学卒,50～54歳,21,17.3,306999,4081124,-,-,-,-
中学卒,55～59歳,7,9.6,270358,2853029,3,x,x,x
中学卒,60歳以上,12,9,279715,3544267,-,-,-,-
高校卒,18～19歳,33,0.5,187986,2201900,-,-,-,-
高校卒,20～21歳,49,2.2,206045,3475928,-,-,-,-
高校卒,22～24歳,79,4.4,208757,4095844,2,x,x,x
高校卒,25～29歳,79,7.8,243128,4694161,23,5,245514,4091616
高校卒,30～34歳,100,10.5,252225,4817462,33,6.4,241890,4103939
高校卒,35～39歳,105,13.4,307831,5575210,21,10.2,257394,3898590
高校卒,40～44歳,144,14.2,351923,5790832,48,12.7,254785,4163305
高校卒,45～49歳,221,15.3,363209,6028269,53,12.4,270527,4434926
高校卒,50～54歳,279,18,359049,5735030,80,21.6,357677,6044335
高校卒,55～59歳,268,19.9,400320,6102742,54,26.7,321677,5617994
高校卒,60歳以上,222,15.6,283920,3859190,16,22.3,240407,3537644
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,3,x,x,x,2,x,x,x
高専・短大卒,22～24歳,18,2.3,218503,3517129,4,x,x,x
高専・短大卒,25～29歳,17,5,221037,3776947,18,4.2,266987,3599469
高専・短大卒,30～34歳,7,6.9,274600,4942583,11,7.8,254925,3773363
高専・短大卒,35～39歳,16,9.7,317081,5289892,27,9.1,250015,4517529
高専・短大卒,40～44歳,26,13.2,420028,7319569,39,14.7,283483,4496167
高専・短大卒,45～49歳,28,18.5,406589,6647079,66,13.4,319593,4937613
高専・短大卒,50～54歳,24,17.9,488772,7778092,46,19.8,361687,5764980
高専・短大卒,55～59歳,23,15.7,384639,6908832,33,18.8,365167,6061533
高専・短大卒,60歳以上,19,17.4,384870,5621236,-,-,-,-
専門学校卒,20～21歳,12,0.4,185825,-,6,1,242004,-
専門学校卒,22～24歳,37,1.9,208072,3112844,15,1.8,275976,3466700
専門学校卒,25～29歳,89,5,238912,4220410,39,4.3,262005,3906991
専門学校卒,30～34歳,67,6.4,285563,4614122,36,5.2,271938,4619264
専門学校卒,35～39歳,50,9,368477,5570314,12,7.1,262037,3401088
専門学校卒,40～44歳,85,14.8,360000,6251563,21,11.7,321485,5368629
専門学校卒,45～49歳,142,16.7,398836,6287799,45,18.6,406397,6200927
専門学校卒,50～54歳,127,20.2,439987,6954311,30,18.6,292219,4608597
専門学校卒,55～59歳,95,22.2,441035,6797228,24,17,308968,4961630
専門学校卒,60歳以上,41,11.9,373981,4899868,1,x,x,x
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,258,0.9,233428,3480278,262,0.8,228994,3396861
大学卒,25～29歳,501,3.4,270577,4659368,430,3.4,262479,4279725
大学卒,30～34歳,434,5.8,336907,5634306,303,5.3,287472,4672694
大学卒,35～39歳,477,9.4,430189,6718470,163,8.8,360776,5415754
大学卒,40～44歳,423,12.4,457151,7328093,203,9.9,397645,6168115
大学卒,45～49歳,521,15.4,493327,7763789,168,12,402060,6425891
大学卒,50～54歳,437,18.2,544036,8471386,131,14.7,405389,6513200
大学卒,55～59歳,385,18.3,543356,8456881,75,19.1,467016,7896703
大学卒,60歳以上,159,14.1,472642,6619961,12,14.5,327196,5323700
