表側１,表側２,表側３,回答企業数(件),増加(%),横ばい(%),減少(%),いない(%),感染症発生時は未創業(%),無回答(%)
,,"今回調査
（全体）",1019,6.2,60.4,11.8,13.0,0.1,8.6
業種別,,総合商品小売業,182,8.2,59.3,7.7,18.7,0.0,6.0
業種別,,生鮮食品小売業,71,7.0,63.4,11.3,9.9,0.0,8.5
業種別,,食料品関連小売業,217,5.1,59.0,12.0,14.3,0.0,9.7
業種別,,衣料品関連小売業,106,6.6,49.1,18.9,12.3,0.0,13.2
業種別,,住関連小売業,62,3.2,64.5,9.7,11.3,0.0,11.3
業種別,,その他小売業,367,6.3,62.9,12.5,10.6,0.3,7.4
従業者規模別,,１～２人,169,0.0,55.6,8.3,21.9,0.0,14.2
従業者規模別,,３～５人,326,1.8,66.9,6.4,14.4,0.0,10.4
従業者規模別,,６～19人,313,8.6,59.7,16.3,9.6,0.3,5.4
従業者規模別,,20人以上,170,16.5,55.3,17.6,7.6,0.0,2.9
年間売上高増減別（3年前）,,増加（５％以上）,169,15.4,55.0,7.7,16.0,0.0,5.9
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,296,8.1,65.9,9.1,11.1,0.0,5.7
年間売上高増減別（3年前）,,やや減少（10％未満）,221,1.8,63.8,11.3,11.8,0.0,11.3
年間売上高増減別（3年前）,,減少（20％未満）,169,2.4,61.5,13.0,16.0,0.0,7.1
年間売上高増減別（3年前）,,大幅減少（20％以上）,131,0.8,55.0,23.7,13.7,0.0,6.9
売上高経常利益率別,,黒字（プラス）,591,8.5,60.4,10.7,12.4,0.2,8.0
売上高経常利益率別,,赤字（マイナス）,347,3.2,61.4,13.5,14.4,0.0,7.5
経常損益の変化別（3年前）,,増益,209,12.0,56.9,13.9,11.0,0.0,6.2
経常損益の変化別（3年前）,,横ばい,329,5.2,67.5,7.0,13.7,0.0,6.7
経常損益の変化別（3年前）,,減益,433,4.4,58.7,15.0,13.6,0.0,8.3
