表側１,表側２,表側３,回答企業数(件),子・子の配偶者に継がせたい(%),配偶者に継がせたい(%),子・子の配偶者及び配偶者以外の親族に継がせたい(%),従業員に継がせたい(%),外部の人間に継がせたい(%),誰でもよいから継がせたい(%),親企業が決定する(%),他企業に売却したい(%),まだ決める時期にない(%),決める必要があるがまだ決められない(%),誰にも継がせたくない(%),その他(%),無回答(%)
,,"今回調査
（全体）",1615,23.1,1.1,2.3,4.9,1.7,2.6,0.8,0.9,24.3,11.8,13.1,4.8,8.5
業種別,,総合商品小売業,168,31.5,3.6,1.2,13.1,0.6,3.6,1.8,0.0,23.2,8.9,3.6,3.6,5.4
業種別,,生鮮食品小売業,99,17.2,2.0,3.0,2.0,1.0,1.0,1.0,0.0,19.2,14.1,21.2,8.1,10.1
業種別,,食料品関連小売業,385,24.7,0.3,3.1,0.8,1.6,3.1,0.0,0.3,22.9,12.7,14.5,6.2,9.9
業種別,,衣料品関連小売業,209,19.6,1.0,1.9,2.4,1.9,1.4,0.0,1.0,28.7,15.8,12.9,4.3,9.1
業種別,,住関連小売業,118,22.9,0.0,3.4,5.1,3.4,4.2,0.0,0.8,12.7,13.6,22.0,4.2,7.6
業種別,,その他小売業,605,22.1,1.0,1.7,6.8,1.8,2.3,1.3,1.8,27.8,9.8,11.9,3.8,7.9
従業者規模別,,１～２人,698,12.3,0.7,2.0,1.0,1.3,2.0,0.4,0.3,23.9,13.2,23.4,7.3,12.2
従業者規模別,,３～５人,402,32.6,1.2,2.2,3.7,2.2,2.5,0.0,1.2,24.6,12.2,7.2,3.5,6.7
従業者規模別,,６～19人,304,31.9,1.3,3.6,10.2,2.3,3.9,2.0,2.6,23.7,8.6,3.6,1.6,4.6
従業者規模別,,20人以上,161,30.4,2.5,1.9,14.3,1.9,3.7,2.5,0.0,24.2,10.6,1.2,3.7,3.1
年間売上高増減別（3年前）,,増加（５％以上）,205,23.9,1.0,3.4,8.8,2.4,2.4,0.0,1.0,29.8,9.8,7.3,5.4,4.9
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,433,25.4,1.2,2.8,5.8,2.1,3.7,0.7,0.5,22.6,11.3,11.5,4.2,8.3
年間売上高増減別（3年前）,,やや減少（10％未満）,341,22.0,0.6,1.5,4.7,1.5,2.1,1.2,0.9,24.9,13.2,14.1,4.1,9.4
年間売上高増減別（3年前）,,減少（20％未満）,305,22.3,0.7,2.3,3.0,2.0,2.0,1.3,0.7,24.3,11.8,16.4,6.2,7.2
年間売上高増減別（3年前）,,大幅減少（20％以上）,277,19.1,2.2,1.8,3.2,0.7,1.4,0.4,2.2,22.4,13.4,16.6,5.1,11.6
売上高経常利益率別,,黒字（プラス）,870,24.8,1.6,2.3,5.9,1.4,3.1,1.1,0.8,25.7,11.0,11.7,4.1,6.3
売上高経常利益率別,,赤字（マイナス）,594,21.4,0.3,2.7,4.0,2.2,2.4,0.3,1.2,22.6,13.0,15.0,5.2,9.8
経常損益の変化別（3年前）,,増益,261,24.5,0.4,3.8,8.4,2.7,3.1,0.4,1.1,27.6,10.3,8.8,1.1,7.7
経常損益の変化別（3年前）,,横ばい,549,23.5,0.7,2.0,4.4,0.7,1.8,0.5,0.9,24.6,12.0,13.7,5.3,9.8
経常損益の変化別（3年前）,,減益,714,22.1,1.7,2.2,4.1,2.1,2.9,1.1,1.0,22.3,12.9,15.0,5.3,7.3
代表者の年齢別,,40歳未満,41,9.8,0.0,4.9,4.9,4.9,7.3,4.9,0.0,48.8,0.0,0.0,0.0,14.6
代表者の年齢別,,40歳代,171,17.0,0.6,1.2,6.4,1.2,2.9,1.2,1.8,43.3,8.2,7.6,2.3,6.4
代表者の年齢別,,50歳代,408,13.5,0.7,2.2,5.6,2.7,3.2,0.5,1.2,33.8,13.0,14.2,5.1,4.2
代表者の年齢別,,60歳代,412,21.4,1.2,3.2,5.6,1.5,2.2,1.0,1.5,20.6,11.2,16.5,5.8,8.5
代表者の年齢別,,70歳以上,573,34.0,1.6,1.9,3.5,1.2,2.1,0.5,0.2,12.9,13.1,12.6,4.7,11.7
