区分,集計企業数（社）,支給時期のみ定めている（社）,支給時期及び額を定めている（社）,賞与規定なし（社）,無回答（社）
調査産業計,1012,708,93,201,10
労組有,75,55,9,10,1
労組無,937,653,84,191,9
建設業,85,69,6,10,-
製造業,274,220,13,36,5
情報通信業,50,34,5,11,-
運輸業，郵便業,55,27,12,15,1
卸売業，小売業,195,125,16,52,2
金融業，保険業,43,35,4,4,-
不動産業，物品賃貸業,30,21,4,4,1
学術研究，専門・技術サービス業,58,42,7,9,-
宿泊業，飲食サービス業,49,23,1,24,1
生活関連サービス業，娯楽業,33,22,4,7,-
教育，学習支援業(学校教育を除く）,32,22,2,8,-
医療，福祉,43,24,8,11,-
サービス業（他に分類されないもの）,65,44,11,10,-
10～49人,642,428,50,156,8
50～99人,225,171,25,28,1
100～299人,145,109,18,17,1
