学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和3年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,-,-,-,-,1,x,x,x
学歴計,20～21歳,8,0.6,209442,2845400,11,1,190245,2698040
学歴計,22～24歳,178,0.9,224443,3399598,173,1.1,231144,3052591
学歴計,25～29歳,476,3,282465,4376812,245,3,261637,3923010
学歴計,30～34歳,509,5.3,335677,5311820,168,5.7,295567,4616717
学歴計,35～39歳,525,8.5,378625,5984640,122,8.1,343727,4797345
学歴計,40～44歳,536,11.9,419236,6390974,133,9.9,359874,5124945
学歴計,45～49歳,737,15.1,453134,6969708,135,11.5,347779,5672119
学歴計,50～54歳,626,16.5,491945,7390258,109,16.8,380422,6195563
学歴計,55～59歳,590,19.1,521585,7913344,59,14.1,312066,4269026
学歴計,60歳以上,266,14.7,413391,5902802,55,13.9,278284,3547182
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,7,1.6,353318,5024200,1,x,x,x
中学卒,30～34歳,3,x,x,x,-,-,-,-
中学卒,35～39歳,6,9.2,305000,4096733,1,x,x,x
中学卒,40～44歳,5,15.2,491000,7498500,4,x,x,x
中学卒,45～49歳,8,11.6,320992,5311263,1,x,x,x
中学卒,50～54歳,6,24,522900,7629667,-,-,-,-
中学卒,55～59歳,1,x,x,x,-,-,-,-
中学卒,60歳以上,10,6.3,431745,6210000,-,-,-,-
高校卒,18～19歳,-,-,-,-,1,x,x,x
高校卒,20～21歳,-,-,-,-,2,x,x,x
高校卒,22～24歳,16,2.1,213931,3523544,5,1.4,208162,2452750
高校卒,25～29歳,39,4.1,294826,4229906,14,4.1,259998,3867427
高校卒,30～34歳,40,6.4,287774,4440751,16,7.8,291656,4480214
高校卒,35～39歳,73,8.9,338325,5589680,13,11.2,275425,3994262
高校卒,40～44歳,91,10.8,399788,5804453,15,11.3,265713,3608467
高校卒,45～49歳,112,14.9,407674,5962275,19,10.9,266897,4679971
高校卒,50～54歳,119,17.1,415038,6164927,34,16.4,320650,4795897
高校卒,55～59歳,119,21.4,479450,7085245,20,15.7,276309,4059206
高校卒,60歳以上,74,16.8,323142,4255558,21,10.5,250516,2914030
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,-,-,-,-
高専・短大卒,22～24歳,1,x,x,x,6,2.3,269467,3442800
高専・短大卒,25～29歳,8,3.1,220805,3220960,7,2.3,208867,2457820
高専・短大卒,30～34歳,8,6.1,271038,3209850,6,8.7,240111,3417317
高専・短大卒,35～39歳,14,8.9,347493,5596914,6,10.7,233054,3634800
高専・短大卒,40～44歳,13,13.9,402127,6691292,12,5.2,254270,3672300
高専・短大卒,45～49歳,23,16.2,291139,5058605,20,15.7,321639,4913630
高専・短大卒,50～54歳,17,13.2,319396,5540871,9,18.1,314620,4536567
高専・短大卒,55～59歳,18,18.1,489717,6837050,8,8.8,307588,3874225
高専・短大卒,60歳以上,13,13.8,261952,4882492,8,22.3,355154,4845925
専門学校卒,20～21歳,7,0.7,203648,2845400,7,1,189243,2810375
専門学校卒,22～24歳,7,1.6,212304,2657660,18,2.3,266109,2837800
専門学校卒,25～29歳,31,2.5,248561,4275124,24,3.1,261741,3582984
専門学校卒,30～34歳,34,4.6,335089,4890421,14,5.1,255872,3581830
専門学校卒,35～39歳,49,8.7,340621,5152881,26,8.5,293259,4339722
専門学校卒,40～44歳,63,11.9,369223,6011838,9,6.8,268753,3566689
専門学校卒,45～49歳,108,17,424000,6220229,13,5.5,276578,4543478
専門学校卒,50～54歳,72,19.2,468241,7140963,12,12.6,286138,4544492
専門学校卒,55～59歳,42,25.6,439837,6838885,11,14.8,259513,3232409
専門学校卒,60歳以上,26,16.7,400282,5616391,16,11.9,260585,3318269
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,145,0.7,227038,3590106,144,0.8,225975,3144916
大学卒,25～29歳,386,3,283146,4417420,196,2.9,264449,4029186
大学卒,30～34歳,408,5.2,341644,5489339,130,5.3,303646,4850631
大学卒,35～39歳,372,8.3,394055,6214559,72,7.3,389948,5399080
大学卒,40～44歳,348,12.1,429336,6509597,80,9.9,412052,5945862
大学卒,45～49歳,463,14.8,481900,7489182,75,10.9,391805,6470031
大学卒,50～54歳,388,16,529118,7898691,54,17.7,449974,7786226
大学卒,55～59歳,402,17.7,546857,8303511,18,15.4,392703,5378713
大学卒,60歳以上,134,14.4,481101,7111527,10,17.8,300639,4203300
