表側１,表側２,表側３,回答企業数(件),商業地(％),大型ターミナル駅周辺(％),駅周辺（大型ターミナル駅を除く）(％),ロードサイド(％),住宅街(％),オフィス街(％),工業地・倉庫街(％),その他(％),無回答(％)
,,今回調査（全体）,2003,32.3,0.8,14.5,6.5,35.5,2.9,0.5,2.2,4.7
業種別,,総合商品小売業,164,6.1,1.2,22,12.2,42.1,10.4,1.2,0.6,4.3
業種別,,生鮮食品小売業,113,42.5,0,7.1,2.7,38.9,2.7,0,0.9,5.3
業種別,,食料品関連小売業,511,29.2,1,11.5,5.5,44.8,1.6,0.6,1.4,4.5
業種別,,衣料品関連小売業,314,46.5,1.3,15.6,5.1,23.6,1.9,0,1,5.1
業種別,,住関連小売業,162,29,0.6,7.4,8.6,42,1.2,1.2,1.9,8
業種別,,その他小売業,737,33.5,0.5,17.2,6.8,30.7,3.1,0.4,3.9,3.8
従業者規模別,,1～2人,1059,33.6,0.6,11.5,5.4,39,2,0.6,2.2,5.2
従業者規模別,,3～5人,488,37.1,0.2,14.5,7,31.1,2.3,0.4,2.7,4.7
従業者規模別,,6～19人,272,26.8,1.5,23.9,7.7,29,6.3,0,1.5,3.3
従業者規模別,,20人以上,134,16.4,3.7,20.9,11.9,34.3,6,1.5,1.5,3.7
売上高規模別,,100万円未満,154,27.9,0,6.5,5.8,45.5,1.3,0,4.5,8.4
売上高規模別,,100～500万円未満,404,33.4,0.2,11.6,3,41.3,1.5,0.5,2.2,6.2
売上高規模別,,500万～1千万円未満,326,35.6,0.6,10.7,6.4,36.2,2.5,0.9,3.4,3.7
売上高規模別,,1～3千万円未満,427,36.8,0.5,15.2,6.3,34.2,1.6,0.2,1.2,4
売上高規模別,,3～5千万円未満,186,36,0.5,16.1,8.6,32.3,1.1,1.1,0.5,3.8
売上高規模別,,5千万～1億円未満,142,28.9,1.4,18.3,5.6,29.6,7.7,0,2.8,5.6
売上高規模別,,1～3億円未満,202,25.7,2,20.3,12.4,30.2,5.4,0,1.5,2.5
売上高規模別,,3～5億円未満,49,14.3,0,30.6,8.2,30.6,8.2,2,4.1,2
売上高規模別,,5億円以上,48,22.9,8.3,18.8,8.3,22.9,10.4,2.1,2.1,4.2
売上高増減別(前年同期比),,増加,138,24.6,0.7,15.2,8.7,40.6,1.4,0.7,1.4,6.5
売上高増減別(前年同期比),,横ばい,251,24.7,0,16.3,8.4,43.4,1.2,0.4,0,5.6
売上高増減別(前年同期比),,減少,1536,34.2,1,14.2,5.9,33.6,3.5,0.5,2.7,4.4
売上高増減別(3年前),,増加,130,24.6,0.8,15.4,13.8,32.3,4.6,1.5,1.5,5.4
売上高増減別(3年前),,横ばい,338,29.6,1.8,13,8.3,38.8,3,0,0.3,5.3
売上高増減別(3年前),,減少,1346,34.5,0.5,14.2,5.6,34.9,2.7,0.5,2.5,4.5
経常損益の変化別(前年同期比),,増益,109,22,1.8,14.7,8.3,44,1.8,0.9,1.8,4.6
経常損益の変化別(前年同期比),,横ばい,337,30,0.3,16.9,7.4,40.4,0.9,0.6,0,3.6
経常損益の変化別(前年同期比),,減益,1406,33.6,0.9,14.3,6,33.4,3.6,0.5,2.8,4.9
経常損益の変化別(3年前),,増益,208,34.6,1,13.9,7.2,36.1,1.4,1,1.9,2.9
経常損益の変化別(3年前),,横ばい,615,30.1,0.8,12.2,8,38.9,3.3,0.3,1.6,4.9
経常損益の変化別(3年前),,減益,937,34,0.9,15.4,6.1,32.9,3.2,0.5,2.5,4.6
