表側１,表側２,表側３,回答企業数(件),必要な能力を持った人材がいない(%),人手が不足(%),資金が不足(%),取り組む時間が不足(%),取り組み方がわからない(%),売上・収入の増加につながらない(%),その他(%),必要性を感じていない(%),無回答(%)
,,"今回調査
（全体）",390,7.4,10.3,12.6,9.5,7.2,19.5,8.5,48.5,8.7
,,前回調査,359,10.0,14.5,13.4,10.9,13.9,23.7,8.4,38.2,6.4
業種別,,総合商品小売業,7,14.3,14.3,28.6,28.6,0.0,14.3,14.3,14.3,0.0
業種別,,生鮮食品小売業,22,0.0,13.6,13.6,18.2,4.5,18.2,13.6,54.5,4.5
業種別,,食料品関連小売業,117,10.3,13.7,14.5,12.0,6.8,16.2,8.5,47.9,8.5
業種別,,衣料品関連小売業,50,6.0,2.0,14.0,6.0,12.0,22.0,4.0,50.0,6.0
業種別,,住関連小売業,35,11.4,11.4,8.6,5.7,8.6,20.0,8.6,42.9,5.7
業種別,,その他小売業,148,5.4,9.5,11.5,8.1,6.1,21.6,8.8,50.7,10.8
従業者規模別,,１～２人,286,6.3,7.3,10.5,5.2,7.3,19.2,9.4,52.8,8.4
従業者規模別,,３～５人,66,7.6,16.7,16.7,16.7,7.6,18.2,3.0,43.9,9.1
従業者規模別,,６～19人,25,12.0,24.0,28.0,24.0,8.0,16.0,8.0,28.0,12.0
従業者規模別,,20人以上,5,40.0,20.0,0.0,60.0,0.0,20.0,0.0,20.0,0.0
年間売上高増減別（3年前）,,増加（５％以上）,14,14.3,7.1,28.6,7.1,7.1,14.3,7.1,42.9,14.3
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,66,4.5,15.2,6.1,7.6,1.5,18.2,3.0,57.6,4.5
年間売上高増減別（3年前）,,やや減少（10％未満）,80,5.0,11.3,7.5,10.0,7.5,13.8,5.0,58.8,10.0
年間売上高増減別（3年前）,,減少（20％未満）,90,8.9,11.1,17.8,12.2,6.7,25.6,10.0,43.3,6.7
年間売上高増減別（3年前）,,大幅減少（20％以上）,127,9.4,7.1,13.4,7.1,10.2,19.7,12.6,44.1,9.4
売上高経常利益率別,,黒字（プラス）,161,5.6,12.4,8.7,7.5,5.0,18.0,6.2,58.4,7.5
売上高経常利益率別,,赤字（マイナス）,183,10.4,8.2,16.9,8.7,9.3,20.8,10.9,39.3,9.8
経常損益の変化別（3年前）,,増益,29,13.8,17.2,13.8,13.8,13.8,27.6,3.4,44.8,10.3
経常損益の変化別（3年前）,,横ばい,128,2.3,10.2,11.7,6.3,7.8,18.0,3.9,60.2,7.8
経常損益の変化別（3年前）,,減益,207,10.6,9.7,13.0,8.2,6.3,18.4,13.0,43.0,8.7
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
