表側(年),期,全体(%),卸売業(%),小売業(%)
2014,Ⅰ,18.9,13.2,14.6
2014,Ⅱ,19.0,13.8,14.8
2014,Ⅲ,19.4,15.0,15.7
2014,Ⅳ,19.4,14.9,14.5
2015,Ⅰ,19.2,15.1,13.7
2015,Ⅱ,19.4,15.5,12.8
2015,Ⅲ,19.0,14.9,11.5
2015,Ⅳ,18.9,15.6,11.4
2016,Ⅰ,18.2,15.3,11.0
2016,Ⅱ,17.7,14.5,10.9
2016,Ⅲ,17.8,15.4,10.4
2016,Ⅳ,18.5,16.3,11.5
2017,Ⅰ,18.7,16.5,11.1
2017,Ⅱ,19.6,17.5,11.2
2017,Ⅲ,19.8,17.5,11.6
2017,Ⅳ,19.9,18.0,11.1
2018,Ⅰ,20.5,18.8,11.1
2018,Ⅱ,20.2,18.8,11.9
2018,Ⅲ,20.3,18.1,13.6
2018,Ⅳ,20.5,17.9,13.5
2019,Ⅰ,20.3,17.9,13.9
2019,Ⅱ,20.4,18.1,13.9
2019,Ⅲ,20.7,18.5,14.0
2019,Ⅳ,20.2,17.5,14.3
2020,Ⅰ,20.0,17.1,14.5
2020,Ⅱ,19.2,16.0,14.2
2020,Ⅲ,18.2,15.0,13.1
2020,Ⅳ,17.5,15.0,11.8
2021,Ⅰ,16.9,14.1,10.9
2021,Ⅱ,16.6,13.9,9.9
2021,Ⅲ,16.4,13.7,9.3
2021,Ⅳ,16.7,14.1,9.7
2022,Ⅰ,16.6,14.1,9.8
2022,Ⅱ,17.2,14.9,9.9
2022,Ⅲ,17.8,14.9,10.3
2022,Ⅳ,18.0,15.4,10.4
2023,Ⅰ,18.7,15.7,10.9
2023,Ⅱ,19.2,15.8,11.2
2023,Ⅲ,19.6,16.4,10.7
2023,Ⅳ,19.9,16.7,11.4
