学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和3年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,18,0.6,194586,2208033,-,-,-,-
学歴計,20～21歳,57,1.2,195162,3158323,38,0.8,194266,2761020
学歴計,22～24歳,194,1.6,221298,3722147,129,1.4,228599,3069008
学歴計,25～29歳,455,3.9,273512,4480278,328,3.4,250114,3869800
学歴計,30～34歳,558,5.8,324798,5118732,251,5.3,276405,4343812
学歴計,35～39歳,547,8.6,378740,6221176,257,8.2,323349,4825293
学歴計,40～44歳,604,11.8,389397,6243687,343,10.7,338410,5107481
学歴計,45～49歳,764,14.4,449353,7131223,369,12.7,344541,5465032
学歴計,50～54歳,714,17.1,453686,7083860,226,15.3,376180,5960473
学歴計,55～59歳,596,17.5,483523,7285827,179,19.8,423558,6168626
学歴計,60歳以上,340,14.2,403054,6027359,44,19,279193,4348645
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,2,x,x,x,-,-,-,-
中学卒,30～34歳,10,6.8,362200,5373600,-,-,-,-
中学卒,35～39歳,6,11.3,401416,6316000,-,-,-,-
中学卒,40～44歳,8,11.5,359573,6333138,2,x,x,x
中学卒,45～49歳,9,16.6,383984,6572289,-,-,-,-
中学卒,50～54歳,10,18.8,446840,6933860,-,-,-,-
中学卒,55～59歳,11,19,422904,7332355,2,x,x,x
中学卒,60歳以上,15,8.5,368851,5617193,-,-,-,-
高校卒,18～19歳,18,0.6,194586,2208033,-,-,-,-
高校卒,20～21歳,36,1.7,194328,3113504,10,2.2,191090,2796100
高校卒,22～24歳,49,3.7,206964,3555369,15,3.1,206103,2915533
高校卒,25～29歳,97,5.6,246056,4008530,27,6,241037,3483821
高校卒,30～34歳,119,9,294320,5030852,17,7.2,238208,3364857
高校卒,35～39歳,142,11.2,332600,5397018,28,9.1,255643,4016881
高校卒,40～44歳,154,12.9,326569,5473964,35,12.5,294310,4585639
高校卒,45～49歳,208,15.9,372380,5662956,62,13.5,263415,4141722
高校卒,50～54歳,220,17.5,360626,5690988,48,18.5,276188,4386278
高校卒,55～59歳,166,18.1,387115,5705039,63,19,308139,4892836
高校卒,60歳以上,121,15.4,284364,3766369,17,21.8,290642,4303720
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,4,x,x,x,6,0,207467,-
高専・短大卒,22～24歳,8,1.8,192825,3703600,8,1.8,233700,3480467
高専・短大卒,25～29歳,5,3.8,208287,4228280,4,x,x,x
高専・短大卒,30～34歳,13,8.1,271713,5016945,14,5.4,242400,3648186
高専・短大卒,35～39歳,16,12,293929,4746786,21,9.3,250597,3985633
高専・短大卒,40～44歳,17,15,391175,7675721,43,11.5,296348,4917122
高専・短大卒,45～49歳,17,15.5,449033,6962893,62,15.4,323517,4984502
高専・短大卒,50～54歳,15,11.5,417859,7070986,48,13.7,352782,5417047
高専・短大卒,55～59歳,17,13.6,381117,5465213,28,22.2,350438,5424593
高専・短大卒,60歳以上,5,13.2,462267,4568320,7,19,304097,4915143
専門学校卒,20～21歳,17,0.2,193377,2845400,18,0.3,193134,2690860
専門学校卒,22～24歳,19,2.2,207013,3281576,17,2.2,209548,2919653
専門学校卒,25～29歳,49,4.9,230320,3923453,38,3.8,229533,3385475
専門学校卒,30～34歳,46,4.7,271055,4502217,22,8.3,237756,3458930
専門学校卒,35～39歳,53,6,309453,4955566,29,7.9,245470,3989056
専門学校卒,40～44歳,84,11.1,340218,5542111,26,12,313384,5180412
専門学校卒,45～49歳,121,14.1,406652,6468397,49,12.3,300584,4620533
専門学校卒,50～54歳,107,19.3,421042,6629775,37,14.7,301931,4991311
専門学校卒,55～59歳,62,18.2,367957,5799668,14,13,272585,4764707
専門学校卒,60歳以上,34,11.3,384783,5788470,8,17.5,274499,3932363
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,112,0.7,233327,4284703,88,0.9,235333,3089643
大学卒,25～29歳,293,3.1,290326,4776697,254,3.1,255527,3993873
大学卒,30～34歳,346,4.7,346988,5305498,177,4.5,292697,4655314
大学卒,35～39歳,315,7.6,420223,6964024,167,7.9,361619,5242097
大学卒,40～44歳,326,11.3,428860,6636711,212,10.2,363029,5279966
大学卒,45～49歳,398,13.6,503559,8128007,183,11.2,393040,6368889
大学卒,50～54歳,348,16.5,527122,8149818,89,14.3,476435,7546489
大学卒,55～59歳,334,17.2,558947,8424017,68,20.3,604648,8217256
大学卒,60歳以上,165,14.5,484381,7724803,8,17,285365,4353475
