,,10％未満            ,10～20％未満        ,20～30％未満        ,30～40％未満        ,40～50％未満        ,50～60％未満        ,60～70％未満        ,70％以上            ,無回答            ,ｎ
,今回調査（全体）,10.4,9,13.1,13,13.7,12.6,10.5,14.5,3.2,2348
,前回調査,8.8,9.5,14.3,13.7,15.5,12.6,10.4,11.2,4,2263
業種別,情報・コンテンツ業,8,8.6,12,13.1,12.2,13.9,11.1,18.8,2.3,640
業種別,専門サービス業,14.3,9.8,15.5,12.3,15,9.6,8.5,12,3,820
業種別,技術サービス業,5,5.9,11.5,12.1,16.8,20.6,12.6,14.1,1.5,340
業種別,事業サービス業,10.5,10.7,11.8,14.4,11.6,11,12,13.4,4.5,507
特定10業種別,ソフトウェア業,7.3,2.8,7.3,11.5,12.2,18.5,15,24.5,0.7,286
特定10業種別,インターネット附随サービス業,9.7,16.1,12.9,25.8,6.5,11.3,6.5,9.7,1.6,62
特定10業種別,映像情報制作・配給業,7.4,13.2,20.6,10.3,11.8,5.9,7.4,20.6,2.9,68
特定10業種別,出版業,1.8,20,27.3,16.4,12.7,10.9,1.8,3.6,5.5,55
特定10業種別,税理士事務所,17.9,9.6,17.9,16.1,14.2,11.5,5.5,2.8,4.6,218
特定10業種別,デザイン業,9.6,11.5,13.5,9.6,16.3,7.7,8.7,18.3,4.8,104
特定10業種別,経営コンサルタント業,12.3,10.6,14,12.3,12.8,9.5,8.4,19.6,0.6,179
特定10業種別,建築設計業,5.6,8.9,10,8.3,17.8,20,14.4,14.4,0.6,180
特定10業種別,自動車整備業,13,18.5,14.8,22.2,5.6,9.3,3.7,5.6,7.4,54
特定10業種別,建物サービス業,7.2,4.5,9,14.4,14.4,14.4,18,14.4,3.6,111
従業者規模別,1～2人,18.2,11,13.6,10.5,9.8,10.9,7.9,14.8,3.2,971
従業者規模別,3～5人,5.6,8,17.8,16.4,16.1,11.7,10.3,11.5,2.6,573
従業者規模別,6～9人,5.2,7.2,9.2,14.8,20.8,10.8,12.4,15.2,4.4,250
従業者規模別,10～29人,2.8,7,9.8,12.3,16.8,18.4,16.5,15.2,1.3,316
従業者規模別,30人以上,5.2,8.1,8.6,13.8,11.9,17.1,12.4,18.6,4.3,210
年間売上高増減別（３年前）,大幅(10％以上)増加,12.8,12,15,14.5,14.1,13.7,5.1,11.5,1.3,234
年間売上高増減別（３年前）,やや(10％未満)増加,7.1,9.7,16.8,11.8,13.9,16,12.6,9.7,2.5,238
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,10.1,6.9,12.7,13.4,13.6,13.1,11.5,16.3,2.3,662
年間売上高増減別（３年前）,やや(10％未満)減少,9.4,10.4,13.6,13.6,14.6,11.7,11.4,10.4,4.9,308
年間売上高増減別（３年前）,大幅(10％以上)減少,10.8,8.8,11.3,12.6,13.8,11.8,10.3,17.5,3,795
売上高経常利益率別,黒字,9.9,9.9,14.3,14.1,14.6,13.9,10.6,11,1.6,1409
売上高経常利益率別,赤字,12.8,7.4,10.7,11.1,11.7,11.7,10.4,21.9,2.3,693
経常損益の変化別（３年前）,増益,8.3,10,16.2,13.4,13.6,11.7,9.8,13.6,3.2,469
経常損益の変化別（４年前）,横ばい,11.9,8.5,11.4,13.1,14,15.3,10.2,12.9,2.7,765
経常損益の変化別（５年前）,減益,9.6,8.2,13.3,12.8,14.2,11.8,11.3,16.9,2,973
