区分,集計企業数（社）,平均休憩時間（時間:分）,４5分未満（社）,４５分,４５分超６０分未満（社）,６０分（社）,６０分超７５分未満（社）,７５分（社）,７５分超９０分未満（社）,９０分（社）,９０分超（社）,無回答（社）
調査産業計,876,1:02,5,35,12,678,8,28,6,48,11,45
労組有,63,1:03,0,5,3,44,0,1,0,4,2,4
労組無,813,1:02,5,30,9,634,8,27,6,44,9,41
建設業,71,1:11,0,0,0,46,0,0,1,16,5,3
製造業,207,1:01,1,16,5,147,6,17,2,3,1,9
情報通信業,58,1:00,0,1,1,51,0,1,0,0,0,4
運輸業，郵便業,42,1:02,0,1,0,34,0,1,0,3,0,3
卸売業，小売業,180,1:02,0,9,3,142,2,3,0,10,1,10
金融業，保険業,27,0:59,1,0,0,25,0,0,0,0,0,1
不動産業，物品賃貸業,16,1:06,1,0,0,11,0,0,1,3,0,0
学術研究，専門・技術サービス業,57,1:01,0,2,0,50,0,2,0,1,0,2
宿泊業，飲食サービス業,43,1:04,1,1,0,34,0,0,0,2,2,3
生活関連サービス業，娯楽業,34,1:03,0,1,0,26,0,1,2,2,0,2
教育，学習支援業（学校教育を除く）,30,1:02,1,1,0,23,0,0,0,3,0,2
医療，福祉,57,1:01,0,2,0,51,0,1,0,0,1,2
サービス業（他に分類されないもの）,54,1:04,0,1,3,38,0,2,0,5,1,4
10～49人,585,1:04,4,17,7,445,6,22,6,40,9,29
50～99人,188,1:01,1,10,4,153,1,4,0,4,2,9
100～299人,103,1:00,0,8,1,80,1,2,0,4,0,7
