,,多種多様な市場が存在,顧客の集積度が高い  ,立地の知名度が高い  ,情報が収集しやすい  ,有能な人材が集めやすい                  ,交通の利便性がある  ,職住が近接している  ,多様な外注先と近接  ,仕入先等取引先と近接,新サービスへの受容度が高い              ,その他              ,特になし            ,無回答, ｎ
, 今回調査（全体）,28.5,45.1,14.6,32.5,11.9,53.1,24.6,14.8,18.7,5.8,1.3,9.2,1.6,2348
業種別,情報・コンテンツ業,25.5,43.8,13.3,38.8,18.8,55.5,22.2,18.1,23.3,6.9,1.1,8.3,1.3,640
業種別,専門サービス業,35.2,47.8,18.7,37.1,8.7,57.2,27.4,10.5,13.5,7.2,1.1,6.6,1.3,820
業種別,技術サービス業,20.9,37.9,10.3,26.8,9.7,51.8,28.2,18.2,15.9,2.9,1.8,12.4,2.6,340
業種別,事業サービス業,25.2,46.9,12.4,20.1,9.9,44.4,20.7,15.2,22.9,4.3,1.6,12.8,1.8,507
特定10業種,ソフトウェア業,24.8,46.9,13.6,38.1,22,59.1,22.7,16.8,20.3,5.6,0.7,10.8,0.7,286
特定10業種,インターネット附随サービス業,25.8,38.7,12.9,30.6,12.9,48.4,22.6,11.3,14.5,3.2,1.6,9.7,0,62
特定10業種,映像情報制作・配給業,29.4,51.5,17.6,44.1,29.4,51.5,22.1,26.5,32.4,11.8,4.4,1.5,1.5,68
特定10業種,出版業,16.4,30.9,5.5,38.2,5.5,45.5,10.9,14.5,32.7,3.6,0,5.5,1.8,55
特定10業種,税理士事務所,37.2,50.5,15.1,26.6,6,54.6,26.1,3.2,7.8,2.8,0.9,6.9,2.3,218
特定10業種,デザイン業,29.8,44.2,14.4,39.4,9.6,54.8,23.1,22.1,26,7.7,1,5.8,1,104
特定10業種,経営コンサルタント業,38.5,43,24.6,53.6,10.1,61.5,28.5,11.2,7.8,10.6,0.6,4.5,0.6,179
特定10業種,建築設計業,23.9,40.6,11.7,34.4,10.6,57.8,30,22.2,18.9,1.7,1.7,8.3,3.3,180
特定10業種,自動車整備業,9.3,37,5.6,11.1,1.9,24.1,13,14.8,18.5,1.9,1.9,27.8,1.9,54
特定10業種,建物サービス業,25.2,47.7,11.7,18.9,7.2,48.6,25.2,19.8,25.2,4.5,0.9,12.6,0,111
従業者規模別,1～2人,27.2,35.1,13.2,32.7,4.3,48.2,29.6,12.4,14.3,4.8,0.6,12.3,2.4,971
従業者規模別,3～5人,27.9,48.3,15.2,28.8,10.6,55,24.1,14.8,17.3,6.1,1.7,9.9,0.9,573
従業者規模別,6～9人,31.6,47.2,13.6,32.8,12.8,54,22,14.8,20,5.2,2,8.4,2.4,250
従業者規模別,10～29人,30.1,56.6,17.1,35.1,25,57.6,19.3,18,27.5,7.9,1.6,4.1,0.9,316
従業者規模別,30人以上,30,61,18.1,37.1,30,63.3,14.8,22.4,28.6,6.7,1.9,3.3,0,210
年間売上高増減別(３年前),大幅(10％以上)増加,35.5,47.4,24.8,40.6,24.8,57.3,25.2,17.5,16.7,10.3,2.6,7.3,1.7,234
年間売上高増減別(３年前),やや(10％未満)増加,31.1,52.5,15.1,40.3,18.1,62.6,19.3,15.1,21,7.6,1.7,5.5,0.8,238
年間売上高増減別(３年前),ほぼ(±５％未満)横ばい,24.9,41.5,11,28.7,8.6,51.1,26.3,11.5,17.1,3.5,1.2,11.9,2,662
年間売上高増減別(３年前),やや(10％未満)減少,28.2,45.5,14.6,28.2,8.8,54.2,26.6,14.6,18.2,4.5,1.3,8.4,1.3,308
年間売上高増減別(３年前),大幅(10％以上)減少,28.1,43.9,13.8,31.6,10.1,49.6,23.4,15.8,19.9,5.9,1,9.2,1.6,795
売上高経常利益率別,黒字,28.9,49.6,16.2,34.2,13.8,57,24.1,15.4,19.9,6,1.5,8,1.1,1409
売上高経常利益率別,赤字,29,36.9,13.9,31.5,9.2,46.5,25.7,15.2,17.2,6.2,0.9,11.4,1.7,693
経常損益の変化別(3年前),増益,29.2,50.1,16.6,38.2,17.3,58.4,22.6,16,19.4,5.3,1.5,6.8,1.3,469
経常損益の変化別(3年前),横ばい,27.3,43.1,12,31,9.7,51.4,26.5,12.4,17.3,5.6,1.7,11.1,1.8,765
経常損益の変化別(3年前),減益,28.8,43.3,15.5,30.3,11.3,52.1,23.8,15.5,19.5,5.8,1,8.7,1.3,973
所在地別,都心,33.1,52.7,24.7,41,18.1,60.7,17.6,16.9,22.5,5.9,1.7,5.1,1.4,590
所在地別,副都心,27,44.3,19.5,37,16.1,60,24,16.5,21.5,6.9,0.4,5.9,1.4,492
所在地別,城東,24.9,44.7,9.3,23.8,7.1,50.7,27.7,13.2,17.8,4.4,1.4,12.9,2.2,365
所在地別,城南,27.1,48.2,10.1,30.7,8.5,52.3,30.7,16.1,14.6,8.5,2,8.5,0,199
所在地別,城北,29.2,37.5,4.2,23.6,2.8,47.2,23.6,20.8,22.2,4.2,0,13.9,0,72
所在地別,城西,27.3,38.1,10.4,33.5,8.5,53.1,32.3,12.3,15.8,5.8,1.9,6.2,1.2,260
所在地別,多摩,27.5,37.5,4.2,23.3,7.2,35.6,24.7,10.8,13.1,4.7,1.1,18.9,3.1,360
