表側１,表側２,表側３,回答企業数(件),5％未満(％),5～10％未満(％),10～15％未満(％),15～20％未満(％),20～25％未満(％),25～30％未満(％),30％以上(％),無回答(％)
,,今回調査（全体）,760,14.1,14.9,12,14.1,13.3,9.1,17.8,4.9
,,前回調査,823,14.7,12,16.9,12.9,11.8,10.6,13.9,7.3
業種別,,食料品卸売業,237,14.3,19.4,14.3,15.6,15.2,4.2,12.2,4.6
業種別,,生鮮食品卸売業,126,16.7,18.3,11.1,15.1,16.7,4,11.9,6.3
業種別,,加工食品等卸売業,111,11.7,20.7,18,16.2,13.5,4.5,12.6,2.7
業種別,,衣料品関連卸売業,145,13.8,9.7,9,15.2,11,13.1,23.4,4.8
業種別,,住関連卸売業,83,15.7,13.3,18.1,12,14.5,12,12,2.4
業種別,,その他卸売業,288,13.9,13.9,9.7,13.2,12.5,10.1,20.8,5.9
従業者規模別,,1～5人,399,17.8,14.3,10.8,14.5,14.5,8.8,13.8,5.5
従業者規模別,,6～9人,101,12.9,13.9,13.9,13.9,6.9,7.9,27.7,3
従業者規模別,,10～49人,208,9.6,16.3,13.5,12,14.4,10.6,18.8,4.8
従業者規模別,,50人以上,36,2.8,8.3,16.7,19.4,13.9,8.3,30.6,0
取引形態別,一次卸,小売直取引卸,219,10.5,14.2,11.9,11.9,14.6,9.1,22.4,5.5
取引形態別,一次卸,他部門直取引卸,50,8,16,28,18,14,6,8,2
取引形態別,一次卸,元卸,154,14.3,14.9,8.4,9.7,14.9,13,20.8,3.9
取引形態別,二次卸,中間卸,85,18.8,18.8,15.3,14.1,12.9,5.9,9.4,4.7
取引形態別,二次卸,最終卸,135,13.3,14.8,12.6,19.3,13.3,6.7,15.6,4.4
取引形態別,その他,製造問屋,19,5.3,5.3,0,10.5,15.8,21.1,42.1,0
取引形態別,その他,その他卸,77,20.8,16.9,9.1,15.6,9.1,9.1,15.6,3.9
