表側１,表側２,表側３,回答企業数(件),小売店の減少(％),商慣行の変化(％),価格競争の激化(％),輸入品の増加(％),他業種卸との競争の激化(％),同業種卸との競争の激化(％),卸売業の転廃業の増加(％),卸売業の規模格差の拡大(％),物流の多様化(自動化対応等)(％),物流コストの高騰(％),人手不足(％),プライベートブランドの増加(％),メーカーと小売業・消費者との直取引の増加(％),インターネット等を活用した販売形態の拡大(％),新型コロナウイルス感染症への対応(％),情報通信技術「5G」への対応(％),環境問題への対応(％),その他(％),無回答(％)
,,今回調査（全体）,760,40.3,19.1,40.1,7.6,14.2,33.2,15.9,12.2,5.8,36.3,14.7,5.9,19.1,23.7,26.8,1.4,6.3,1.8,2.5
業種別,,食料品卸売業,237,47.7,15.6,35.9,5.1,14.3,33.3,16,16.9,7.6,40.5,18.6,4.2,17.7,20.7,28.7,1.7,5.5,0.8,3.4
業種別,,生鮮食品卸売業,126,52.4,12.7,36.5,3.2,11.9,30.2,14.3,18.3,6.3,31.7,22.2,3.2,10.3,15.1,30.2,0.8,6.3,0.8,3.2
業種別,,加工食品等卸売業,111,42.3,18.9,35.1,7.2,17.1,36.9,18,15.3,9,50.5,14.4,5.4,26.1,27,27,2.7,4.5,0.9,3.6
業種別,,衣料品関連卸売業,145,59.3,24.1,43.4,12.4,11,30.3,20.7,3.4,3.4,35.9,10.3,5.5,21.4,27.6,29.7,1.4,3.4,0.7,3.4
業種別,,住関連卸売業,83,26.5,20.5,48.2,10.8,15.7,38.6,10.8,13.3,3.6,34.9,24.1,7.2,26.5,27.7,26.5,0,7.2,1.2,1.2
業種別,,その他卸売業,288,28.5,19.1,39.2,5.9,15.6,31.9,14.9,12.5,5.9,33.3,10.8,6.9,16.7,23.3,23.6,1.7,8.3,3.1,1.7
従業者規模別,,1～5人,399,42.4,17.5,37.1,7,10.8,25.8,18.5,10.8,4,29.8,7.8,4.5,20.3,22.3,25.1,1,5,2.5,3.3
従業者規模別,,6～9人,101,35.6,24.8,39.6,10.9,7.9,39.6,13.9,11.9,8.9,29.7,15.8,5.9,9.9,25.7,26.7,0,8.9,0,1
従業者規模別,,10～49人,208,39.4,18.8,47.6,7.2,21.6,43.3,12.5,14.9,6.3,50,23.1,8.2,20.7,24.5,29.3,2.9,7.7,1.9,1.4
従業者規模別,,50人以上,36,36.1,19.4,36.1,8.3,25,38.9,11.1,13.9,11.1,47.2,36.1,8.3,25,30.6,30.6,2.8,8.3,0,0
取引形態別,一次卸,小売直取引卸,219,55.3,22.8,38.8,5.9,12.8,28.3,13.7,13.2,5,34.2,14.2,5,21.5,27.9,25.6,2.3,4.6,0.5,2.3
取引形態別,一次卸,他部門直取引卸,50,14,26,52,8,18,44,10,16,10,52,14,4,18,18,30,4,22,0,2
取引形態別,一次卸,元卸,154,31.8,17.5,37.7,10.4,14.9,39,16.9,11,5.8,43.5,10.4,7.8,20.8,26.6,25.3,0.6,4.5,0.6,1.9
取引形態別,二次卸,中間卸,85,35.3,9.4,43.5,5.9,15.3,29.4,17.6,10.6,4.7,29.4,10.6,7.1,11.8,21.2,29.4,1.2,7.1,2.4,4.7
取引形態別,二次卸,最終卸,135,51.9,18.5,43.7,6.7,16.3,32.6,18.5,15.6,7.4,37.8,23,4.4,23,26.7,23.7,0.7,5.2,3,0
取引形態別,その他,製造問屋,19,36.8,26.3,42.1,21.1,21.1,31.6,26.3,10.5,10.5,52.6,10.5,26.3,31.6,15.8,36.8,5.3,10.5,0,0
取引形態別,その他,その他卸,77,23.4,18.2,36.4,7.8,10.4,35.1,14.3,9.1,3.9,22.1,18.2,2.6,10.4,14.3,32.5,0,5.2,7.8,3.9
売上高増減別(前年同期比),,増加,56,30.4,23.2,33.9,8.9,14.3,42.9,7.1,14.3,14.3,46.4,17.9,10.7,14.3,23.2,17.9,0,3.6,0,1.8
売上高増減別(前年同期比),,横ばい,108,30.6,19.4,49.1,1.9,7.4,33.3,11.1,10.2,4.6,40.7,15.7,5.6,17.6,19.4,25.9,0.9,9.3,2.8,3.7
売上高増減別(前年同期比),,減少,585,43.6,19,39.3,8.5,15.4,32.3,17.9,12.3,5.3,34.2,14.5,5.6,20,24.6,27.9,1.7,6,1.9,2.2
売上高増減別(３年前),,増加,136,25.7,20.6,44.1,11,16.9,43.4,11,14,9.6,45.6,16.2,5.9,19.1,24.3,25,2.2,9.6,0.7,4.4
売上高増減別(３年前),,横ばい,130,37.7,13.8,37.7,5.4,12.3,32.3,10.8,10.8,5.4,40.8,21.5,4.6,16.9,22.3,23.1,0,8.5,3.1,0.8
売上高増減別(３年前),,減少,443,46.3,21,40.2,7.7,13.8,30,18.7,12.2,5,32.3,11.7,6.1,20.5,25.1,28.9,1.8,4.7,2,2.3
経常損益の変化別(前年同期比),,増益,67,32.8,20.9,41.8,7.5,16.4,43.3,11.9,13.4,10.4,56.7,23.9,11.9,16.4,22.4,9,1.5,6,0,1.5
経常損益の変化別(前年同期比),,横ばい,124,29,24.2,42.7,8.1,9.7,33.9,12.9,12.1,4,36.3,14.5,2.4,18.5,22.6,22.6,0.8,4.8,2.4,3.2
経常損益の変化別(前年同期比),,減益,543,44.2,18.2,40,7.6,15.1,32.6,17.5,12.2,5.7,34.1,14.4,6.3,19.3,24.1,30.4,1.7,6.8,2,2.2
経常損益の変化別(３年前),,増益,128,36.7,16.4,35.2,12.5,14.1,32,16.4,11.7,7,41.4,13.3,8.6,18,25.8,28.9,1.6,9.4,0.8,2.3
経常損益の変化別(３年前),,横ばい,229,38.4,20.1,40.6,8.3,16.6,35.8,15.3,13.1,7.4,35.4,15.7,4.4,19.7,23.1,23.6,1.7,6.1,2.2,2.6
経常損益の変化別(３年前),,減益,351,43.9,19.9,43.9,6,12.5,32.5,16.2,12.8,4.3,35.9,14.8,5.7,20.2,23.9,28.5,1.4,5.7,2.3,1.4
