表側１,表側２,表側３,回答企業数(件),40歳未満(％),40歳代(％),50歳代(％),60歳代(％),70歳以上(％),無回答(％)
,,"今回調査
（全体）",767,1.2,11.3,29.1,29.3,28.3,0.8
,,前回調査,760,2.2,13.6,28.3,25.3,29.6,1.1
業種別,,食料品卸売業,213,0.9,11.3,28.6,32.4,25.8,0.9
業種別,,生鮮食品卸売業,91,1.1,6.6,38.5,33.0,19.8,1.1
業種別,,加工食品等卸売業,122,0.8,14.8,21.3,32.0,30.3,0.8
業種別,,衣料品関連卸売業,111,1.8,11.7,31.5,28.8,26.1,0.0
業種別,,住関連卸売業,155,2.6,10.3,25.2,29.7,31.0,1.3
業種別,,その他卸売業,270,0.4,11.9,31.5,26.3,29.3,0.7
従業者規模別,,１～５人,406,0.5,9.6,25.1,31.3,33.0,0.5
従業者規模別,,６～９人,119,2.5,16.8,27.7,23.5,29.4,0.0
従業者規模別,,10～49人,192,1.0,13.0,34.9,29.7,20.3,1.0
従業者規模別,,50人以上,28,3.6,7.1,60.7,25.0,3.6,0.0
取引形態別,一次卸,小売直取引卸,229,2.2,14.4,25.8,30.1,27.5,0.0
取引形態別,一次卸,他部門直取引卸,67,0.0,6.0,29.9,29.9,34.3,0.0
取引形態別,一次卸,元卸,127,0.0,16.5,26.0,33.9,22.0,1.6
取引形態別,二次卸,中間卸,93,1.1,11.8,25.8,26.9,31.2,3.2
取引形態別,二次卸,最終卸,131,1.5,6.1,43.5,25.2,23.7,0.0
取引形態別,その他,製造問屋,20,0.0,10.0,30.0,40.0,20.0,0.0
取引形態別,その他,その他卸,65,1.5,7.7,27.7,27.7,33.8,1.5
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
