表側１,表側２,表側３,回答企業数(件),増加(%),横ばい(%),減少(%),感染症発生時は未創業(%),無回答(%)
,,"今回調査
（全体）",1019,8.0,67.8,17.4,0.2,6.6
業種別,,総合商品小売業,182,4.4,63.7,26.9,0.0,4.9
業種別,,生鮮食品小売業,71,7.0,67.6,16.9,0.0,8.5
業種別,,食料品関連小売業,217,9.7,72.4,11.5,0.0,6.5
業種別,,衣料品関連小売業,106,7.5,55.7,23.6,0.0,13.2
業種別,,住関連小売業,62,3.2,74.2,16.1,1.6,4.8
業種別,,その他小売業,367,10.1,69.2,15.3,0.3,5.2
従業者規模別,,１～２人,169,1.8,76.3,10.1,0.0,11.8
従業者規模別,,３～５人,326,5.5,75.5,11.7,0.0,7.4
従業者規模別,,６～19人,313,11.2,61.3,23.6,0.3,3.5
従業者規模別,,20人以上,170,13.5,58.8,24.7,0.0,2.9
年間売上高増減別（3年前）,,増加（５％以上）,169,19.5,60.4,16.0,0.0,4.1
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,296,9.1,73.6,11.5,0.3,5.4
年間売上高増減別（3年前）,,やや減少（10％未満）,221,5.0,71.9,17.2,0.0,5.9
年間売上高増減別（3年前）,,減少（20％未満）,169,3.0,74.0,18.9,0.0,4.1
年間売上高増減別（3年前）,,大幅減少（20％以上）,131,1.5,57.3,33.6,0.0,7.6
売上高経常利益率別,,黒字（プラス）,591,10.7,67.2,16.4,0.3,5.4
売上高経常利益率別,,赤字（マイナス）,347,3.7,70.9,20.2,0.0,5.2
経常損益の変化別（3年前）,,増益,209,14.4,62.2,18.7,0.0,4.8
経常損益の変化別（3年前）,,横ばい,329,7.9,75.4,12.8,0.0,4.0
経常損益の変化別（3年前）,,減益,433,5.3,67.0,21.9,0.0,5.8
