表側１,表側２,表側３,回答企業数(件),増加(%),横ばい(%),減少(%),感染症発生時は未創業(%),無回答(%)
,,"今回調査
（全体）",543,11.2,68.9,17.9,0.0,2.0
業種別,,食料品卸売業,154,10.4,74.7,14.9,0.0,0.0
業種別,,生鮮食品卸売業,67,13.4,73.1,13.4,0.0,0.0
業種別,,加工食品等卸売業,87,8.0,75.9,16.1,0.0,0.0
業種別,,衣料品関連卸売業,83,10.8,50.6,34.9,0.0,3.6
業種別,,住関連卸売業,105,14.3,69.5,14.3,0.0,1.9
業種別,,その他卸売業,187,10.7,70.6,15.5,0.0,3.2
従業者規模別,,１～５人,206,3.4,76.2,17.0,0.0,3.4
従業者規模別,,６～９人,111,12.6,72.1,15.3,0.0,0.0
従業者規模別,,10～49人,187,17.1,62.0,19.3,0.0,1.6
従業者規模別,,50人以上,28,28.6,46.4,25.0,0.0,0.0
取引形態別,一次卸,小売直取引卸,161,14.9,57.8,26.1,0.0,1.2
取引形態別,一次卸,他部門直取引卸,47,12.8,76.6,10.6,0.0,0.0
取引形態別,一次卸,元卸,104,11.5,71.2,14.4,0.0,2.9
取引形態別,二次卸,中間卸,59,5.1,81.4,11.9,0.0,1.7
取引形態別,二次卸,最終卸,97,6.2,71.1,20.6,0.0,2.1
取引形態別,その他,製造問屋,14,7.1,64.3,28.6,0.0,0.0
取引形態別,その他,その他卸,39,20.5,71.8,5.1,0.0,2.6
年間売上高増減別（3年前）,,大幅増加（10％以上）,101,24.8,61.4,13.9,0.0,0.0
年間売上高増減別（3年前）,,やや増加（10％未満）,88,18.2,67.0,12.5,0.0,2.3
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,108,9.3,79.6,9.3,0.0,1.9
年間売上高増減別（3年前）,,やや減少（10％未満）,81,2.5,67.9,27.2,0.0,2.5
年間売上高増減別（3年前）,,大幅減少（10％以上）,144,4.9,66.0,25.7,0.0,3.5
売上高経常利益率別,,黒字（プラス）,358,14.2,68.2,15.9,0.0,1.7
売上高経常利益率別,,赤字（マイナス）,161,5.0,68.9,23.6,0.0,2.5
経常損益の変化別（3年前）,,増益,159,16.4,59.7,22.6,0.0,1.3
経常損益の変化別（3年前）,,横ばい,161,11.8,73.3,11.8,0.0,3.1
経常損益の変化別（3年前）,,減益,204,7.4,71.6,19.6,0.0,1.5
