,,リモートワークに適した仕事がない        ,情報漏洩が心配      ,顧客等外部対応に支障がでる              ,従業者間でのコミュニケーションに支障がある                  ,導入するメリットがない                  ,文書類の電子化が進んでいない            ,従業員の業績評価ができない              ,資金が不足          ,企業風土に合わない  ,その他              ,無回答, n
, 今回調査（全体）,53.4,10.9,18.8,10,20.1,7.4,3,3.4,9.3,13.4,9.6,1007
業種別,情報・コンテンツ業,37.8,9.4,21.3,19.7,18.9,4.7,7.1,3.1,11.8,15.7,11.8,127
業種別,専門サービス業,47.9,20.2,24.4,8.9,24.1,10.5,3.3,3,9.1,14.1,6.6,361
業種別,技術サービス業,47.3,5.5,15.2,12.7,18.2,4.8,0.6,8.5,7.3,16.4,10.9,165
業種別,事業サービス業,68.5,4.5,13.9,5.9,16.3,6.8,2.1,1.2,9.8,10.4,11,337
特定10業種別,ソフトウェア業,21.4,0,32.1,21.4,14.3,0,10.7,3.6,7.1,21.4,14.3,28
特定10業種別,インターネット附随サービス業,20,13.3,20,0,13.3,0,0,0,0,20,20,15
特定10業種別,映像情報制作・配給業,40.9,13.6,9.1,36.4,18.2,4.5,13.6,4.5,18.2,13.6,18.2,22
特定10業種別,出版業,45.5,4.5,27.3,18.2,22.7,13.6,9.1,4.5,13.6,9.1,0,22
特定10業種別,税理士事務所,41.8,31.3,29.1,9.7,23.9,20.1,4.5,1.5,6,15.7,4.5,134
特定10業種別,デザイン業,46.5,14,20.9,16.3,20.9,2.3,0,7,14,27.9,7,43
特定10業種別,経営コンサルタント業,40.9,9.1,13.6,4.5,40.9,6.8,4.5,6.8,22.7,0,6.8,44
特定10業種別,建築設計業,27.8,5.6,20.8,19.4,25,5.6,0,6.9,8.3,22.2,9.7,72
特定10業種別,自動車整備業,77.3,0,6.8,0,6.8,0,2.3,0,6.8,13.6,13.6,44
特定10業種別,建物サービス業,73.7,3.2,13.7,6.3,13.7,7.4,2.1,2.1,11.6,8.4,11.6,95
従業者規模別,2人,49,7.8,15.2,2.9,27.9,5.9,2,2.9,7.8,15.7,8.8,204
従業者規模別,3～5人,55.2,12.2,18.9,14.7,16.4,7.7,3.1,3.8,8,10.8,9.4,286
従業者規模別,6～9人,61.7,19.6,20.6,12.1,17.8,10.3,6.5,2.8,11.2,8.4,8.4,107
従業者規模別,10～29人,66.7,9.1,30.3,21.2,17.2,8.1,5.1,6.1,16.2,6.1,7.1,99
従業者規模別,30人以上,67.7,21.5,30.8,21.5,20,16.9,4.6,0,20,4.6,10.8,65
年間売上高増減別(３年前),大幅(10％以上)増加,38.8,11.9,20.9,22.4,20.9,4.5,9,4.5,9,16.4,10.4,67
年間売上高増減別(３年前),やや(10％未満)増加,50.6,16.5,25.9,14.1,8.2,8.2,2.4,0,9.4,10.6,12.9,85
年間売上高増減別(３年前),ほぼ(±５％未満)横ばい,52.8,11,16.7,9.1,21.7,7.2,2.8,1.6,8.5,15.4,10.4,318
年間売上高増減別(３年前),やや(10％未満)減少,60,11,17.4,9.7,20,10.3,2.6,2.6,10.3,11,9,155
年間売上高増減別(３年前),大幅(10％以上)減少,55.5,10.1,19.4,8.1,21.1,6.9,2.6,5.5,9.2,11.6,8.4,346
売上高経常利益率別,黒字,52.9,12.2,20.9,10.4,19.5,8.2,3.1,3,8,13.6,10.4,575
売上高経常利益率別,赤字,55.5,6.6,14.2,10.4,19.9,4.7,3.2,3.8,10.7,12.9,8.5,317
経常損益の変化別(３年前),増益,44.2,11.5,23,9.1,20.6,5.5,4.2,1.8,7.9,18.8,8.5,165
経常損益の変化別(３年前),横ばい,53.9,10.3,14,9.8,19.8,7.3,2.8,2.5,8.4,13.4,11.2,358
経常損益の変化別(３年前),減益,57.9,11.9,20.6,11,20.1,8.2,2.7,4.1,10.3,9.8,8.7,437
代表者の年齢別,40歳未満,38.5,15.4,23.1,23.1,30.8,0,0,0,0,15.4,7.7,13
代表者の年齢別,40歳代,55.6,17.9,25.6,22.2,17.1,5.1,6,4.3,12.8,12.8,6,117
代表者の年齢別,50歳代,53,8.5,20.6,13.2,17.8,7.8,2.8,3.6,8.5,13.2,12.5,281
代表者の年齢別,60歳代,55.4,9.7,16.2,5.8,20.9,7.6,3.2,3.6,9,12.9,7.9,278
代表者の年齢別,70歳以上,51.8,10.7,16.8,5.8,22,8.4,1.6,2.9,9.1,14.2,10,309
