表側１,表側２,表側３,回答企業数(件),仕入時の目利き(%),販売時の顧客に応じた商品の提案(%),商品の発掘(%),商品のオリジナル性(%),商品の企画開発(%),自企業（自店）の製造加工力向上(%),保管段階での価値保全・向上(%),販売時の附随サービスの充実(%),販売後のアフターサービスの充実(%),その他(%),特になし(%),無回答(%)
,,今回調査（全体）,2141,42.0,39.1,19.9,28.4,9.7,10.5,5.7,13.7,15.6,1.8,17.6,3.8
業種別,,総合商品小売業,189,24.3,37.6,10.6,27.5,9.0,1.6,3.7,10.1,0.5,7.4,23.3,2.1
業種別,,生鮮食品小売業,134,73.9,36.6,17.2,26.9,6.0,20.9,8.2,10.4,1.5,0.0,10.4,3.0
業種別,,食料品関連小売業,535,34.0,26.4,23.2,39.6,16.6,20.9,8.4,9.9,3.2,0.7,17.6,4.9
業種別,,衣料品関連小売業,298,63.4,55.0,30.2,33.9,10.7,9.4,2.7,15.1,24.8,1.0,6.0,2.7
業種別,,住関連小売業,167,39.5,52.7,16.2,13.8,3.0,3.0,0.6,18.6,43.1,0.0,15.0,3.0
業種別,,その他小売業,773,38.0,40.6,16.9,22.1,6.9,5.8,6.3,16.4,20.6,2.2,22.4,4.1
従業者規模別,,１～２人,1066,43.6,38.8,19.4,25.4,6.0,9.6,4.8,13.4,17.1,1.2,18.0,4.1
従業者規模別,,３～５人,486,45.5,41.6,19.3,29.8,10.5,13.0,6.4,13.0,16.3,1.6,14.8,4.9
従業者規模別,,６～19人,336,36.9,38.1,22.3,34.8,16.4,11.9,6.0,14.0,13.4,3.0,18.5,2.7
従業者規模別,,20人以上,170,28.2,38.2,18.8,34.1,17.1,5.9,6.5,14.1,8.2,4.1,22.4,1.8
年間売上高増減別（3年前）,,増加（５％以上）,227,45.8,44.5,25.6,39.2,20.3,15.9,7.9,15.9,14.1,4.0,11.0,2.2
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,40.9,42.2,18.5,32.8,12.4,12.2,7.7,14.3,18.1,1.8,16.3,3.3
年間売上高増減別（3年前）,,やや減少（10％未満）,450,40.2,38.4,18.0,27.6,6.9,8.7,4.2,14.0,14.0,1.1,19.6,2.9
年間売上高増減別（3年前）,,減少（20％未満）,434,41.2,39.2,21.7,26.3,7.1,8.5,5.3,13.8,13.6,1.6,17.7,4.6
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,44.5,34.6,19.1,21.3,7.0,9.2,4.7,11.7,16.9,1.1,20.4,4.9
売上高経常利益率別,,黒字（プラス）,1093,40.6,41.0,18.9,31.2,11.3,9.7,6.5,14.9,16.0,1.9,18.3,3.2
売上高経常利益率別,,赤字（マイナス）,838,46.1,37.8,22.6,26.4,8.8,10.9,5.1,13.4,15.5,1.6,15.9,3.7
経常損益の変化別（3年前）,,増益,316,41.5,43.7,26.3,37.0,16.5,12.0,7.0,19.9,18.4,1.6,14.9,3.2
経常損益の変化別（3年前）,,横ばい,702,41.2,40.2,18.8,29.3,9.3,10.7,5.8,12.0,14.7,1.4,17.8,3.1
経常損益の変化別（3年前）,,減益,999,44.1,38.2,19.5,25.9,8.7,9.8,5.3,13.7,15.4,2.2,17.4,3.7
