区分,集計企業数（社）,賃金表・賃金規定の有無／賃金表あり（社）,賃金表・賃金規定の有無／賃金規定はあるが賃金表なし（社）,賃金表・賃金規定の有無／賃金規定なし（社）,賃金表・賃金規定の有無／その他（社）,賃金表・賃金規定の有無／無回答（社）,過去１年間の定期昇給の実施状況／実施した／定昇規定により実施（社）,過去１年間の定期昇給の実施状況／実施した／定昇規定はないが慣行により実施（社）,過去１年間の定期昇給の実施状況／実施した／無回答（社）,過去１年間の定期昇給の実施状況／実施していない／定昇規定はあるが実施見送り（社）,過去１年間の定期昇給の実施状況／実施していない／定昇の制度・慣行なし（社）,過去１年間の定期昇給の実施状況／実施していない／無回答（社）,過去１年間の定期昇給の実施状況／無回答（社）,過去１年間のベースアップの実施状況／実施（社）,過去１年間のベースアップの実施状況／現状維持（社）,過去１年間のベースアップの実施状況／ベースダウン（社）,過去１年間のベースアップの実施状況／その他（社）,過去１年間のベースアップの実施状況／無回答（社）
調査産業計,876,359,440,72,5,0,347,335,0,54,140,0,0,430,398,3,44,1
労組有,63,37,23,1,2,0,38,20,0,2,3,0,0,32,27,0,4,0
労組無,813,322,417,71,3,0,309,315,0,52,137,0,0,398,371,3,40,1
建設業,71,25,45,0,1,0,28,31,0,2,10,0,0,33,37,0,1,0
製造業,207,85,109,11,2,0,99,82,0,11,15,0,0,99,93,0,15,0
情報通信業,58,24,30,4,0,0,29,17,0,1,11,0,0,26,29,0,3,0
運輸業，郵便業,42,19,19,3,1,0,16,15,0,1,10,0,0,22,16,0,4,0
卸売業，小売業,180,71,84,25,0,0,70,71,0,15,24,0,0,100,71,1,7,1
金融業，保険業,27,16,10,0,1,0,14,8,0,0,5,0,0,12,13,0,2,0
不動産業，物品賃貸業,16,6,9,1,0,0,7,3,0,1,5,0,0,5,9,0,2,0
学術研究，専門・技術サービス業,57,26,29,2,0,0,24,23,0,3,7,0,0,24,29,1,3,0
宿泊業，飲食サービス業,43,15,21,7,0,0,10,18,0,4,11,0,0,23,19,0,1,0
生活関連サービス業，娯楽業,34,18,15,1,0,0,13,12,0,3,6,0,0,13,19,1,1,0
教育，学習支援業(学校教育を除く）,30,10,17,3,0,0,7,7,0,3,13,0,0,10,19,0,1,0
医療，福祉,57,25,26,6,0,0,16,24,0,5,12,0,0,33,23,0,1,0
サービス業（他に分類されないもの）,54,19,26,9,0,0,14,24,0,5,11,0,0,30,21,0,3,0
10～49人,585,203,313,66,3,0,197,237,0,46,105,0,0,286,268,,27,1
50～99人,188,99,83,4,2,0,91,65,0,7,25,0,0,92,85,0,11,0
100～299人,103,57,44,2,0,0,59,33,0,1,10,0,0,52,45,0,6,0
