学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和4年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,-,-,-,-,-,-,-,-
学歴計,20～21歳,-,-,-,-,-,-,-,-
学歴計,22～24歳,1,x,x,x,8,2.3,277324,3621929
学歴計,25～29歳,67,4.4,325687,5211393,36,4.6,305820,3966306
学歴計,30～34歳,178,8,407610,6104983,76,7,361025,4680216
学歴計,35～39歳,370,11.3,408128,6711188,87,9.3,406078,5737751
学歴計,40～44歳,606,14.3,467747,7092741,176,11.7,453029,6716619
学歴計,45～49歳,910,16.9,490126,7398292,238,14.4,436331,6262128
学歴計,50～54歳,920,20.5,521078,7982196,185,16.1,465655,6958265
学歴計,55～59歳,750,21,573547,8751408,138,17.4,527070,7731612
学歴計,60歳以上,287,21.1,532139,7873625,44,17.8,431228,5815269
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,-,-,-,-,-,-,-,-
中学卒,30～34歳,2,x,x,x,-,-,-,-
中学卒,35～39歳,4,x,x,x,-,-,-,-
中学卒,40～44歳,4,x,x,x,-,-,-,-
中学卒,45～49歳,13,18.5,394441,6035801,1,x,x,x
中学卒,50～54歳,7,25,412667,6813257,-,-,-,-
中学卒,55～59歳,11,21.8,381904,5297067,-,-,-,-
中学卒,60歳以上,2,x,x,x,1,x,x,x
高校卒,18～19歳,-,-,-,-,-,-,-,-
高校卒,20～21歳,-,-,-,-,-,-,-,-
高校卒,22～24歳,1,x,x,x,3,x,x,x
高校卒,25～29歳,8,4.6,312050,4521700,-,-,-,-
高校卒,30～34歳,36,11.9,343362,5742458,6,12,264310,3934425
高校卒,35～39歳,81,14.9,362020,6252368,6,13.3,289167,4995400
高校卒,40～44歳,113,16.7,415675,6627083,20,14.7,387549,5190816
高校卒,45～49歳,203,19,426771,6776698,33,17.2,318428,4819630
高校卒,50～54歳,223,23.1,452596,6969353,41,19,385495,5885793
高校卒,55～59歳,173,24.9,451381,6970374,35,24.5,390123,6102559
高校卒,60歳以上,76,24.7,474701,7695161,12,16.7,349458,5516092
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,-,-,-,-
高専・短大卒,22～24歳,-,-,-,-,-,-,-,-
高専・短大卒,25～29歳,-,-,-,-,3,x,x,x
高専・短大卒,30～34歳,8,8.3,348925,4627925,3,x,x,x
高専・短大卒,35～39歳,7,13.7,381079,5985086,3,x,x,x
高専・短大卒,40～44歳,16,19.5,516171,6750805,21,11.6,355075,4811433
高専・短大卒,45～49歳,40,20.2,483914,7224628,37,17.7,342187,5300556
高専・短大卒,50～54歳,25,18.1,514628,7660852,29,18.3,406832,5975640
高専・短大卒,55～59歳,22,26.8,490544,7709150,19,16.8,450542,6159129
高専・短大卒,60歳以上,16,19.6,474411,6751103,8,16,380773,4774871
専門学校卒,20～21歳,-,-,-,-,-,-,-,-
専門学校卒,22～24歳,-,-,-,-,2,x,x,x
専門学校卒,25～29歳,4,x,x,x,4,x,x,x
専門学校卒,30～34歳,20,6.7,406538,5650035,11,8.5,349641,4994789
専門学校卒,35～39歳,48,10.1,381120,5920821,14,10.8,369971,5132150
専門学校卒,40～44歳,103,15.5,422839,6273553,10,10.8,354586,4638324
専門学校卒,45～49歳,141,19.4,463096,7059058,42,14.5,395804,5366403
専門学校卒,50～54歳,162,24.3,456519,7111247,28,15.3,361436,5359068
専門学校卒,55～59歳,72,22.6,474568,7102326,15,14.7,405020,5209086
専門学校卒,60歳以上,20,17.2,461173,7091645,6,21.8,324012,4686854
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,-,-,-,-,3,x,x,x
大学卒,25～29歳,55,4.2,332805,5424207,29,4.8,304941,3957076
大学卒,30～34歳,111,6.9,434716,6461597,56,6.1,376306,4704029
大学卒,35～39歳,227,10.4,432769,7130117,62,8.8,433258,6084962
大学卒,40～44歳,362,12.9,495776,7528425,125,11.3,488119,7540308
大学卒,45～49歳,501,15.1,529651,7862295,124,12.8,512255,7335105
大学卒,50～54歳,489,18,579380,8885222,86,14.3,555377,8332234
大学卒,55～59歳,463,18.9,644120,9845158,68,14.3,650946,9613375
大学卒,60歳以上,173,20.1,580492,8262724,17,17.9,577296,7162946
