表側１,表側２,表側３,回答企業数(件),全て自企業(％),一部外部委託(％),全て外部委託(％),該当する業務なし(％),無回答(％)
,,"今回調査
（全体）",767,59.2,17.3,11.2,10.3,2.0
,,前回調査,760,64.3,17.4,7.8,7.9,2.6
業種別,,食料品卸売業,213,58.2,18.3,13.1,8.5,1.9
業種別,,生鮮食品卸売業,91,71.4,12.1,7.7,5.5,3.3
業種別,,加工食品等卸売業,122,48.4,23.0,17.2,10.7,0.8
業種別,,衣料品関連卸売業,111,59.5,18.0,10.8,9.0,2.7
業種別,,住関連卸売業,155,60.6,14.2,10.3,11.6,3.2
業種別,,その他卸売業,270,58.1,18.1,11.1,11.5,1.1
従業者規模別,,１～５人,406,63.5,9.4,8.9,15.3,3.0
従業者規模別,,６～９人,119,60.5,19.3,12.6,6.7,0.8
従業者規模別,,10～49人,192,51.6,29.7,14.1,4.2,0.5
従業者規模別,,50人以上,28,32.1,50.0,17.9,0.0,0.0
取引形態別,一次卸,小売直取引卸,229,63.3,18.3,9.2,7.0,2.2
取引形態別,一次卸,他部門直取引卸,67,52.2,17.9,13.4,14.9,1.5
取引形態別,一次卸,元卸,127,46.5,23.6,20.5,9.4,0.0
取引形態別,二次卸,中間卸,93,53.8,15.1,14.0,12.9,4.3
取引形態別,二次卸,最終卸,131,70.2,14.5,6.1,7.6,1.5
取引形態別,その他,製造問屋,20,55.0,25.0,10.0,10.0,0.0
取引形態別,その他,その他卸,65,53.8,10.8,9.2,23.1,3.1
