表側１,表側２,表側３,回答企業数(件),品揃えの幅(フルラインナップ・一括供給)(％),品揃えの深さ(専門性)(％),商材の発掘(％),新商品の企画・開発(％),顧客への品揃えの提案(％),顧客の売場づくり支援(％),顧客への販促提案(％),顧客への情報提供(％),短納期や納期の短縮化(％),小口受注・小口配送(％),多頻度配送(％),情報収集・分析(％),金融機能(％),他事業者との連携(％),その他(％),業務の効率化・合理化(％),特になし(％),無回答(％)
,,今回調査（全体）,760,21.2,34.6,34.1,30.3,20.8,5.3,26.2,30.8,11.6,13.9,5.8,15.1,1.3,8.3,1.3,14.7,12,2
業種別,,食料品卸売業,237,22.8,41.8,33.3,24.9,25.7,6.8,27.4,32.1,5.9,17.7,8.4,11.8,1.3,7.2,1.7,14.8,13.1,3
業種別,,生鮮食品卸売業,126,22.2,43.7,28.6,19,26.2,5.6,23.8,31,4,16.7,9.5,11.1,2.4,5.6,1.6,11.9,11.9,4
業種別,,加工食品等卸売業,111,23.4,39.6,38.7,31.5,25.2,8.1,31.5,33.3,8.1,18.9,7.2,12.6,0,9,1.8,18,14.4,1.8
業種別,,衣料品関連卸売業,145,21.4,33.1,33.1,46.2,26.9,5.5,20,20.7,19.3,12.4,4.1,16.6,2.1,6.2,1.4,16.6,8.3,2.1
業種別,,住関連卸売業,83,22.9,27.7,38.6,22.9,18.1,6,28.9,34.9,15.7,9.6,2.4,16.9,3.6,12,1.2,19.3,9.6,1.2
業種別,,その他卸売業,288,19.4,30.9,34,28.5,14.6,3.8,26.7,34,11.1,12.5,5.2,16.7,0.3,8.7,1,12.5,13.9,1.4
従業者規模別,,1～5人,399,17.8,28.1,27.8,23.3,17,3.5,17.8,24.8,11.5,15.3,5,12.5,0.8,8,0.5,9.3,18.3,2.8
従業者規模別,,6～9人,101,20.8,42.6,44.6,34.7,17.8,5,30.7,32.7,11.9,7.9,5,19.8,1,11.9,4,19.8,5,1
従業者規模別,,10～49人,208,26.4,44.2,42.3,39.4,25.5,8.2,33.2,38.9,10.1,11.5,5.8,15.9,2.4,7.7,1.4,19.2,4.8,1.4
従業者規模別,,50人以上,36,30.6,30.6,33.3,41.7,44.4,11.1,52.8,47.2,19.4,27.8,16.7,25,2.8,5.6,2.8,33.3,0,0
取引形態別,一次卸,小売直取引卸,219,21.9,33.3,36.1,37,25.1,6.8,29.2,29.2,12.8,11,5.9,17.8,2.3,7.8,0.5,14.6,11,0.9
取引形態別,一次卸,他部門直取引卸,50,24,42,42,24,16,2,16,48,10,14,6,20,2,10,0,20,8,2
取引形態別,一次卸,元卸,154,24.7,40.3,37,41.6,22.7,7.8,29.9,34.4,13.6,15.6,4.5,13.6,1.3,8.4,3.9,19.5,4.5,0
取引形態別,二次卸,中間卸,85,17.6,22.4,32.9,20,12.9,4.7,18.8,21.2,3.5,15.3,3.5,12.9,2.4,8.2,1.2,9.4,23.5,4.7
取引形態別,二次卸,最終卸,135,25.2,48.1,33.3,19.3,23,3.7,21.5,33.3,12.6,15.6,8.9,12.6,0,4.4,0,15.6,13.3,1.5
取引形態別,その他,製造問屋,19,21.1,21.1,36.8,42.1,42.1,5.3,42.1,47.4,31.6,26.3,5.3,21.1,0,21.1,0,15.8,10.5,0
取引形態別,その他,その他卸,77,10.4,22.1,22.1,20.8,10.4,1.3,27.3,26,7.8,11.7,6.5,15.6,0,9.1,2.6,6.5,18.2,3.9
売上高増減別(前年同期比),,増加,56,33.9,46.4,41.1,26.8,26.8,12.5,42.9,46.4,16.1,12.5,7.1,26.8,3.6,7.1,3.6,14.3,0,1.8
売上高増減別(前年同期比),,横ばい,108,24.1,33.3,41.7,36.1,21.3,3.7,26.9,36.1,16.7,11.1,6.5,14.8,0.9,8.3,2.8,14.8,8.3,1.9
売上高増減別(前年同期比),,減少,585,19.7,33.8,32,29.2,20,4.8,24.6,28.2,10.4,14.9,5.6,14,1.2,8.4,0.9,14.4,14,2.1
売上高増減別(３年前),,増加,136,25.7,38.2,39,34.6,24.3,8.8,37.5,44.1,11.8,14,4.4,27.9,1.5,8.8,3.7,15.4,3.7,0.7
売上高増減別(３年前),,横ばい,130,26.2,38.5,31.5,28.5,23.1,4.6,23.1,33.1,11.5,13.1,10,9.2,2.3,6.2,0.8,12.3,13.8,0.8
売上高増減別(３年前),,減少,443,18.1,33,33.6,28.2,19.2,4.7,23.7,26.2,12,14.2,5,12.4,1.1,8.8,0.9,15.3,14.7,2.3
経常損益の変化別(前年同期比),,増益,67,26.9,40.3,37.3,34.3,22.4,11.9,43.3,43.3,10.4,14.9,6,26.9,4.5,9,6,17.9,3,1.5
経常損益の変化別(前年同期比),,横ばい,124,26.6,37.1,33.9,26.6,21,7.3,32.3,33.9,18.5,12.9,6.5,14.5,1.6,7.3,1.6,16.9,8.1,3.2
経常損益の変化別(前年同期比),,減益,543,19.9,33.7,33.9,30.6,20.8,4.1,22.8,28.9,10.3,14.7,5.5,14,0.9,8.1,0.7,13.8,13.8,1.8
経常損益の変化別(３年前),,増益,128,21.9,38.3,34.4,31.3,24.2,8.6,32.8,34.4,9.4,10.9,1.6,20.3,1.6,10.2,2.3,17.2,6.3,2.3
経常損益の変化別(３年前),,横ばい,229,23.1,35.4,31.4,24.5,18.8,3.9,26.6,34.1,16.6,17.9,7.9,10.9,1.7,7.4,0.9,14,12.2,1.7
経常損益の変化別(３年前),,減益,351,20.2,34.5,36.8,32.5,21.7,5.1,22.8,27.6,10.3,13.1,6.8,14.8,1.1,8.3,1.4,14.8,14.2,1.4
