区分,集計企業数（社）,平均実労働日数（男性）（日）,実労働時間（男性）／平均所定内実労働時間（Ａ）（時間:分）,実労働時間（男性）／平均所定外実労働時間（B)（時間:分）,実労働時間（男性）／計（Ａ＋Ｂ）（時間:分）,平均実労働日数（女性）（日）,実労働時間（女性）／平均所定内実労働時間（Ａ）（時間:分）,実労働時間（女性）／平均所定外実労働時間（B)（時間:分）,実労働時間（女性）／計（Ａ＋Ｂ）（時間:分）
調査産業計,876,20.2,156:04,14:55,170:59,19.8,150:34,8:57,159:31
労組有,63,20.4,154:01,17:07,171:08,19.7,144:30,9:23,153:53
労組無,813,20.2,156:13,14:45,170:58,19.8,151:00,8:55,159:55
建設業,71,21.3,163:31,21:41,185:12,20.1,150:32,8:54,159:26
製造業,207,19.9,154:03,15:27,169:30,19.6,151:42,8:25,160:07
情報通信業,58,19.3,152:23,15:28,167:51,18.9,148:50,13:44,162:34
運輸業，郵便業,42,21,164:51,17:42,182:33,20.2,150:58,6:03,157:01
卸売業，小売業,180,20.3,155:46,12:20,168:06,20,151:16,6:06,157:22
金融業，保険業,27,19.2,151:39,17:54,169:33,19.1,144:41,10:29,155:10
不動産業，物品賃貸業,16,19.3,140:40,13:55,154:35,19.2,136:56,11:09,148:05
学術研究，専門・技術サービス業,57,19.8,155:52,18:19,174:11,19.6,152:09,19:25,171:34
宿泊業，飲食サービス業,43,20.5,153:19,10:17,163:36,19.7,145:07,6:41,151:48
生活関連サービス業，娯楽業,34,20.9,157:38,7:07,164:45,19.9,150:01,5:26,155:27
教育，学習支援業（学校教育を除く）,30,20.2,149:16,15:12,164:28,19.8,141:33,14:25,155:58
医療，福祉,57,20.3,159:29,15:43,175:12,20,156:05,10:17,166:22
サービス業（他に分類されないもの）,54,21,160:20,11:32,171:52,20.6,153:35,4:14,157:49
10～49人,585,20.4,156:12,12:30,168:42,19.9,150:36,6:47,157:23
50～99人,188,20.1,156:14,18:14,174:28,19.7,150:34,15:00,165:34
100～299人,103,19.9,154:58,22:11,177:09,19.4,150:19,10:14,160:33
