表側１,表側２,表側３,回答企業数(件),ＩＣＴ人材が不足している(％),具体的な効果・成果が見えない(％),コスト負担が大きい（予算確保が難しい）(％),従業員が積極的でない(％),活用できるシステムやツール、製品がない(％),セキュリティ上の懸念がある(％),活用したいが何から始めたらよいかわからない(％),その他(％),特になし(％),無回答(％)
,,"今回調査
（全体）",767,25.7,13.7,22.8,6.5,5.2,14.5,6.9,0.8,36.2,4.7
業種別,,食料品卸売業,213,28.2,16.9,22.5,10.3,5.2,11.7,6.6,0.5,29.6,6.1
業種別,,生鮮食品卸売業,91,24.2,15.4,18.7,16.5,5.5,7.7,7.7,1.1,33.0,7.7
業種別,,加工食品等卸売業,122,31.1,18.0,25.4,5.7,4.9,14.8,5.7,0.0,27.0,4.9
業種別,,衣料品関連卸売業,111,25.2,13.5,27.0,6.3,5.4,15.3,6.3,0.9,40.5,7.2
業種別,,住関連卸売業,155,25.2,12.3,23.2,3.9,5.2,16.8,3.9,0.0,36.1,5.8
業種別,,その他卸売業,270,25.2,12.2,21.9,5.2,5.6,15.9,9.6,0.7,38.1,2.2
従業者規模別,,１～５人,406,14.0,9.6,16.5,3.2,4.4,9.6,6.7,1.2,48.3,5.9
従業者規模別,,６～９人,119,31.1,20.2,25.2,10.1,7.6,12.6,5.9,0.0,27.7,3.4
従業者規模別,,10～49人,192,44.8,17.2,32.3,10.4,5.2,23.4,8.3,0.0,20.3,2.1
従業者規模別,,50人以上,28,50.0,17.9,39.3,17.9,10.7,32.1,7.1,3.6,10.7,3.6
取引形態別,一次卸,小売直取引卸,229,27.9,13.5,24.0,6.6,6.6,17.5,6.6,0.0,34.9,4.8
取引形態別,一次卸,他部門直取引卸,67,35.8,11.9,20.9,6.0,10.4,19.4,7.5,1.5,23.9,0.0
取引形態別,一次卸,元卸,127,29.9,13.4,26.0,3.9,5.5,15.0,8.7,0.0,37.0,2.4
取引形態別,二次卸,中間卸,93,17.2,11.8,16.1,8.6,3.2,10.8,8.6,1.1,39.8,11.8
取引形態別,二次卸,最終卸,131,29.8,16.0,25.2,10.7,5.3,7.6,8.4,0.0,31.3,4.6
取引形態別,その他,製造問屋,20,20.0,5.0,25.0,5.0,0.0,10.0,0.0,0.0,50.0,5.0
取引形態別,その他,その他卸,65,13.8,12.3,21.5,3.1,1.5,23.1,4.6,1.5,43.1,4.6
年間売上高増減別（3年前）,,大幅増加（10％以上）,120,37.5,15.8,26.7,5.8,5.8,20.8,9.2,0.0,25.8,1.7
年間売上高増減別（3年前）,,やや増加（10％未満）,108,32.4,17.6,20.4,7.4,8.3,13.9,8.3,0.0,32.4,6.5
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,154,25.3,11.7,17.5,7.8,4.5,18.2,6.5,0.6,39.0,2.6
年間売上高増減別（3年前）,,やや減少（10％未満）,124,25.0,8.9,25.0,10.5,4.8,12.9,8.1,0.8,39.5,2.4
年間売上高増減別（3年前）,,大幅減少（10％以上）,233,18.9,15.5,23.6,3.9,4.7,11.6,5.6,0.9,38.2,8.6
売上高経常利益率別,,黒字（プラス）,462,32.0,15.2,23.8,7.6,5.6,16.2,7.6,0.4,31.6,3.2
売上高経常利益率別,,赤字（マイナス）,271,16.6,12.2,21.8,4.4,4.8,11.8,6.3,0.7,43.5,6.6
経常損益の変化別（3年前）,,増益,197,34.0,13.2,28.4,9.6,7.1,19.3,4.6,0.5,29.9,2.5
経常損益の変化別（3年前）,,横ばい,240,23.8,14.6,17.5,7.1,5.0,12.5,8.3,0.0,37.1,5.4
経常損益の変化別（3年前）,,減益,305,23.3,13.8,23.6,4.3,4.6,13.1,7.5,1.0,39.0,5.6
代表者の年齢別,,40歳未満,9,22.2,11.1,0.0,11.1,0.0,33.3,11.1,0.0,11.1,22.2
代表者の年齢別,,40歳代,87,27.6,10.3,21.8,8.0,6.9,16.1,9.2,0.0,33.3,3.4
代表者の年齢別,,50歳代,223,28.3,17.5,28.7,9.0,5.8,15.7,7.6,0.4,33.2,2.7
代表者の年齢別,,60歳代,225,26.2,9.8,22.7,7.1,4.9,14.7,5.8,1.8,38.2,3.1
代表者の年齢別,,70歳以上,217,21.7,15.2,18.4,2.8,4.6,11.1,6.5,0.5,39.6,8.3
