表側１,表側２,表側３,回答企業数(件),1940年以前(％),1941～1950年(％),1951～1960年(％),1961～1970年(％),1971～1980年(％),1981～1990年(％),1991～2000年(％),2001～2010年(％),2011年以降(％),無回答(％)
,,"今回調査
（全体）",767,4.3,3.4,8.3,9.8,12.3,15.8,15.1,18.6,9.4,3.0
,,前回調査,760,8.8,5.0,10.3,11.3,14.7,13.2,13.4,13.0,6.8,3.4
業種別,,食料品卸売業,213,5.6,5.2,8.0,11.3,9.4,13.6,15.5,20.7,6.6,4.2
業種別,,生鮮食品卸売業,91,3.3,4.4,8.8,15.4,15.4,17.6,9.9,18.7,3.3,3.3
業種別,,加工食品等卸売業,122,7.4,5.7,7.4,8.2,4.9,10.7,19.7,22.1,9.0,4.9
業種別,,衣料品関連卸売業,111,1.8,2.7,7.2,4.5,13.5,12.6,17.1,20.7,16.2,3.6
業種別,,住関連卸売業,155,3.9,3.2,9.7,8.4,13.5,12.3,15.5,16.8,13.5,3.2
業種別,,その他卸売業,270,4.1,2.6,8.1,11.1,13.3,20.7,14.1,17.4,6.7,1.9
従業者規模別,,１～５人,406,2.2,2.7,7.6,7.9,10.6,16.7,13.5,22.9,12.1,3.7
従業者規模別,,６～９人,119,3.4,2.5,8.4,8.4,16.0,17.6,12.6,19.3,10.9,0.8
従業者規模別,,10～49人,192,7.8,4.7,7.8,15.1,14.1,14.6,20.3,9.4,4.7,1.6
従業者規模別,,50人以上,28,14.3,7.1,25.0,3.6,10.7,7.1,10.7,21.4,0.0,0.0
取引形態別,一次卸,小売直取引卸,229,7.0,1.7,7.0,6.1,12.7,14.4,17.9,17.9,11.4,3.9
取引形態別,一次卸,他部門直取引卸,67,4.5,6.0,9.0,9.0,9.0,19.4,11.9,19.4,9.0,3.0
取引形態別,一次卸,元卸,127,3.1,0.8,7.1,6.3,7.9,15.0,19.7,23.6,14.2,2.4
取引形態別,二次卸,中間卸,93,3.2,4.3,10.8,9.7,11.8,21.5,11.8,16.1,5.4,5.4
取引形態別,二次卸,最終卸,131,1.5,6.9,6.9,20.6,16.0,14.5,10.7,16.8,4.6,1.5
取引形態別,その他,製造問屋,20,0.0,5.0,15.0,15.0,10.0,15.0,10.0,15.0,15.0,0.0
取引形態別,その他,その他卸,65,3.1,3.1,12.3,6.2,18.5,10.8,10.8,21.5,10.8,3.1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
