区分,退職年金制度導入企業数（社）,複数回答／確定拠出年金(企業型)（社）,複数回答／確定給付企業年金（社）,複数回答／厚生年金基金（社）,複数回答／企業独自の年金（社）,複数回答／その他（社）,無回答（社）
調査産業計,199,104,86,28,4,11,5
労組有,27,18,9,2,0,1,0
労組無,172,86,77,26,4,10,5
建設業,23,10,11,4,1,1,0
製造業,73,38,37,10,0,3,1
情報通信業,17,7,8,5,1,1,0
運輸業，郵便業,9,4,6,0,0,1,0
卸売業，小売業,26,17,7,5,0,4,1
金融業，保険業,19,13,7,0,0,1,0
不動産業，物品賃貸業,6,2,4,0,0,0,0
学術研究，専門・技術サービス業,10,6,1,2,0,0,1
宿泊業，飲食サービス業,3,1,1,0,1,0,1
生活関連サービス業，娯楽業,4,2,1,1,0,0,0
教育，学習支援業(学校教育を除く）,1,0,0,0,0,0,1
医療，福祉,2,1,1,0,0,0,0
サービス業（他に分類されないもの）,6,3,2,1,1,0,0
10～49人,85,44,25,17,3,7,5
50～99人,45,26,21,7,0,2,0
100～299人,69,34,40,4,1,2,0
