"年月[西暦]","調査項目","設問","項目","調査回答者の属性種別","調査回答者の属性","調査数[人]","男性[人]","女性[人]","無回答[人]"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","全体",,"658","248","400","10"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","性・年代別","男性（計）","248","248","0","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","性・年代別","男性 18～29歳","23","23","0","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","性・年代別","男性 30～39歳","35","35","0","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","性・年代別","男性 40～49歳","41","41","0","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","性・年代別","男性 50～59歳","49","49","0","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","性・年代別","男性 60～69歳","39","39","0","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","性・年代別","男性 70歳以上","60","60","0","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","性・年代別","男性 無回答","1","1","0","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","性・年代別","女性（計）","400","0","400","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","性・年代別","女性 18～29歳","28","0","28","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","性・年代別","女性 30～39歳","65","0","65","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","性・年代別","女性 40～49歳","95","0","95","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","性・年代別","女性 50～59歳","82","0","82","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","性・年代別","女性 60～69歳","55","0","55","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","性・年代別","女性 70歳以上","75","0","75","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","性・年代別","女性 無回答","0","0","0","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","性・年代別","無回答","10","0","0","10"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","職業別","自営業主・家族従業","92","40","50","2"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","職業別","会社員・団体職員・公務員","280","140","140","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","職業別","アルバイト・パートタイマー","58","7","51","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","職業別","家事専業","94","1","92","1"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","職業別","学生","20","8","12","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","職業別","無職","83","40","38","5"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","職業別","その他","26","10","16","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","職業別","無回答","5","2","1","2"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","居住地区別","芝地区","107","40","66","1"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","居住地区別","麻布地区","140","58","81","1"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","居住地区別","赤坂地区","88","35","53","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","居住地区別","高輪地区","155","56","96","3"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","居住地区別","芝浦港南地区","164","58","103","3"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","居住地区別","無回答","4","1","1","2"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","住居形態別","持家（一戸建）","95","34","60","1"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","住居形態別","持家（マンション）","302","113","186","3"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","住居形態別","借家（一戸建）","7","4","3","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","住居形態別","民間の賃貸マンション・アパート","171","63","107","1"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","住居形態別","都営住宅・区営住宅・区立住宅","28","9","17","2"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","18","5","13","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","住居形態別","社宅・公務員宿舎","20","11","9","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","住居形態別","寮・寄宿舎・住み込み・間借り","6","5","1","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","住居形態別","その他","5","2","3","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","住居形態別","無回答","6","2","1","3"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","定住意向別","ずっと住み続けていたい","366","132","230","4"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","定住意向別","当分は住んでいたい","224","93","125","6"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","42","14","28","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","2","1","1","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","定住意向別","近いうちに区外に転居する予定である","9","3","6","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","定住意向別","わからない","14","5","9","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(1)あなたの性別は。（１つ選択）","定住意向別","無回答","1","0","1","0"

"第32回港区民世論調査クロス集計表・あなたご自身についてQ31-01","Ver202003",,,,,,,,
