,,,問4(6).友達に迷惑をかけたときに、謝らない人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,5102,184,316,1421,3181,59
全体,,構成比（％）,100.0,3.6,6.2,27.9,62.3,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,382,16,31,117,218,8
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,4.2,8.1,30.6,57.1,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,166,5,18,46,97,6
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,3.0,10.8,27.7,58.4,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,206,11,11,68,116,2
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,5.3,5.3,33.0,56.3,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,2,3,5,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,20.0,30.0,50.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,801,27,50,212,512,7
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,3.4,6.2,26.5,63.9,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,380,12,21,90,257,4
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,3.2,5.5,23.7,67.6,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,393,14,28,109,242,3
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,3.6,7.1,27.7,61.6,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,1,1,13,13,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,3.6,3.6,46.4,46.4,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,461,13,30,109,309,9
