,,,問13.子供たちみんなが社会のルールやマナーを守って生活するようになるためには、何が必要だと思いますか(3位)／合計,地域の人々の交流が深まること,町をきれいにしておくこと,その他,不明
全体,,回答者数（人）,6129,681,609,25,639
全体,,構成比（％）,100.0,11.1,9.9,0.4,
小中高校生別×男女別,小学生-全体,回答者数（人）,2060,261,288,12,234
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,12.7,14.0,0.6,
小中高校生別×男女別,小学生-男子,回答者数（人）,1029,129,150,4,153
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,12.5,14.6,0.4,
小中高校生別×男女別,小学生-女子,回答者数（人）,1031,132,138,8,81
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,12.8,13.4,0.8,
小中高校生別×男女別,中学生-全体,回答者数（人）,2270,261,232,9,248
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,11.5,10.2,0.4,
小中高校生別×男女別,中学生-男子,回答者数（人）,1127,124,115,6,150
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,11.0,10.2,0.5,
小中高校生別×男女別,中学生-女子,回答者数（人）,1143,137,117,3,98
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,12.0,10.2,0.3,
小中高校生別×男女別,高校生-全体,回答者数（人）,1725,152,83,4,137
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,8.8,4.8,0.2,
小中高校生別×男女別,高校生-男子,回答者数（人）,755,70,42,2,66
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,9.3,5.6,0.3,
小中高校生別×男女別,高校生-女子,回答者数（人）,970,82,41,2,71
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,8.5,4.2,0.2,
